student_id,course_id,gender,enrollment_reason,enrollment_status,time_spent
91634,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,1857.8168
91672,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,2763.0331
91709,AnPhA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,4315.8839
91771,AnPhA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,540.5001
91932,AnPhA-S116-02,M,Other,Approved/Enrolled,1182.9667
92185,AnPhA-S116-02,F,Scheduling Conflict,Approved/Enrolled,6162.1998
52326,AnPhA-S216-01,F,Other,Approved/Enrolled,1321.8164
58168,AnPhA-S216-01,F,Other,Approved/Enrolled,433.3669
67013,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,2297.2332
69743,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,7084.7003
71725,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,3514.5498
76673,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,4945.2164
76674,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2368.4997
76840,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,3968.1668
76998,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1270.0997
78164,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,2591.6168
85248,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2269.8829
86268,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1272.3172
86942,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,3101.5166
88440,AnPhA-S216-01,M,Learning Preference of the Student,Approved/Enrolled,2544.4002
88612,AnPhA-S216-01,F,Other,Approved/Enrolled,2258.9165
91313,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,3134.9666
91326,AnPhA-S216-01,F,Other,Approved/Enrolled,657.1668
94246,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,1351.9003
94691,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,258.35
94805,AnPhA-S216-01,F,Scheduling Conflict,Approved/Enrolled,4438.7165
94846,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,764.1668
94872,AnPhA-S216-01,F,Other,Approved/Enrolled,3547.0667
95014,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2999.9832
95114,AnPhA-S216-01,F,Course Unavailable at Local School,Dropped,546.85
95283,AnPhA-S216-01,F,Other,Approved/Enrolled,2689.4502
95545,AnPhA-S216-01,F,Other,Approved/Enrolled,4284.4003
95594,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,1419.8
95601,AnPhA-S216-01,F,Other,Approved/Enrolled,2915.5167
95618,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,3789.3996
95620,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,4013.3999
95634,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,4466.367
95915,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,2670.7669
95957,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,3542.5501
96228,AnPhA-S216-01,M,Scheduling Conflict,Approved/Enrolled,1747.1669
96640,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,769.2331
96677,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,11.0333
96680,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1776.5166
96690,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1969.5003
96720,AnPhA-S216-01,F,Learning Preference of the Student,Approved/Enrolled,68.1167
96853,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2521.2334
96854,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2563.3833
96959,AnPhA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,1727.2666
96994,AnPhA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2676.7501
74552,AnPhA-S216-02,F,Other,Approved/Enrolled,6123.8832
88979,AnPhA-S216-02,F,Scheduling Conflict,Dropped,364.5001
91164,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,4359.0996
94219,AnPhA-S216-02,F,Learning Preference of the Student,Dropped,151.75
94542,AnPhA-S216-02,F,Other,Approved/Enrolled,1558.5331
94545,AnPhA-S216-02,F,Other,Approved/Enrolled,855.3833
94550,AnPhA-S216-02,F,Other,Approved/Enrolled,2856.6166
94898,AnPhA-S216-02,F,Other,Approved/Enrolled,1904.1662
94903,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,2288.5835
95017,AnPhA-S216-02,F,Other,Approved/Enrolled,2773.6164
95041,AnPhA-S216-02,F,Other,Approved/Enrolled,322.9502
95160,AnPhA-S216-02,F,Course Unavailable at Local School,Approved/Enrolled,4154.4333
95264,AnPhA-S216-02,M,Learning Preference of the Student,Dropped,237.3
95377,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,1089.9667
95919,AnPhA-S216-02,M,Course Unavailable at Local School,Approved/Enrolled,1937.4333
96826,AnPhA-S216-02,F,Learning Preference of the Student,Approved/Enrolled,1073.95
96871,AnPhA-S216-02,F,Other,Approved/Enrolled,244.3835
66508,AnPhA-T116-01,F,Scheduling Conflict,Dropped,0.45
76132,AnPhA-T116-01,F,Other,Approved/Enrolled,5037.3331
79859,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,2040.7333
84640,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,2362.1
84641,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,4614.4
84749,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,4199.4169
84757,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,128.6165
87865,AnPhA-T116-01,F,Scheduling Conflict,Approved/Enrolled,1304.1168
88995,AnPhA-T116-01,F,Course Unavailable at Local School,Approved/Enrolled,119.3169
89005,AnPhA-T116-01,M,Course Unavailable at Local School,Approved/Enrolled,2429.3997
90516,AnPhA-T116-01,F,Learning Preference of the Student,Approved/Enrolled,250.4331
61965,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,615.2168
68598,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,3331.6169
69937,BioA-S116-01,F,Learning Preference of the Student,Withdrawn,1.2168
70408,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,6664.4499
70681,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,2602.2333
71434,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,1006.3337
77169,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,735.0999
85292,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,264.2002
85889,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,297.5167
86067,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,516.7003
86110,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,3954.2997
86113,BioA-S116-01,F,Other,Approved/Enrolled,63.6837
86130,BioA-S116-01,F,Other,Approved/Enrolled,142.7337
86202,BioA-S116-01,M,Credit Recovery,Approved/Enrolled,1391.0673
86216,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,1855.9338
86580,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1076.5339
87081,BioA-S116-01,M,Other,Approved/Enrolled,181.5999
87552,BioA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1496.8001
88568,BioA-S116-01,M,Other,Approved/Enrolled,1329.3997
89300,BioA-S116-01,M,Scheduling Conflict,Approved/Enrolled,1132.1503
90253,BioA-S116-01,F,Other,Approved/Enrolled,1803.8334
90430,BioA-S116-01,F,Credit Recovery,Approved/Enrolled,2252.5
90466,BioA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,658.4165
90995,BioA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,13.9333
91066,BioA-S116-01,F,Other,Approved/Enrolled,222.9831
91067,BioA-S116-01,F,Other,Approved/Enrolled,2920.9838
91300,BioA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1311.9998
91351,BioA-S116-01,F,Other,Approved/Enrolled,206.2335
91611,BioA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,616.3672
91624,BioA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,583.1167
92152,BioA-S116-01,F,Other,Approved/Enrolled,3214.3998
92510,BioA-S116-01,M,Other,Approved/Enrolled,295.5494
92606,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,10.1498
92633,BioA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,571.2834
88568,BioA-S216-01,M,Other,Dropped,NA
92606,BioA-S216-01,M,Other,Approved/Enrolled,306.2668
95658,BioA-S216-01,F,Scheduling Conflict,Approved/Enrolled,644.2667
95707,BioA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,4034.7502
96950,BioA-S216-01,F,Credit Recovery,Approved/Enrolled,2264.4834
97374,BioA-S216-01,F,Credit Recovery,Approved/Enrolled,470.8
97386,BioA-S216-01,M,Other,Approved/Enrolled,71.0166
84794,BioA-T116-01,M,Course Unavailable at Local School,Approved/Enrolled,919.5
87689,BioA-T116-01,M,Other,Approved/Enrolled,1525.0333
53447,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1479.4166
55283,FrScA-S116-01,F,Other,Withdrawn,3.9167
61941,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1637.9504
68188,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,583.2498
69072,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,956.1665
70037,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2591.1496
76840,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2634.6832
77246,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,782.5002
85323,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1449.7001
85416,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,846.5665
85431,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1448.9339
85432,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,874.0172
85433,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2575.4667
85443,FrScA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1564.633
85539,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2948.6174
85579,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2822.5166
85649,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1464.4668
85650,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2689.1334
85651,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,565.7832
85659,FrScA-S116-01,M,Course Unavailable at Local School,Dropped,NA
85662,FrScA-S116-01,F,Course Unavailable at Local School,Dropped,107.8999
85663,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,191.3834
85665,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,4046.6159
85668,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,379.1335
85791,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1461.8332
85792,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1687.3165
85929,FrScA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,1297.9167
85930,FrScA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1647.2669
86105,FrScA-S116-01,M,Learning Preference of the Student,Approved/Enrolled,4075.5504
86271,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,282.7834
86280,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2167.9669
86339,FrScA-S116-01,F,Scheduling Conflict,Approved/Enrolled,598.783
86340,FrScA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1077.3504
86364,FrScA-S116-01,F,Other,Approved/Enrolled,3429.2834
86365,FrScA-S116-01,F,Other,Approved/Enrolled,1027.7002
86455,FrScA-S116-01,F,Other,Approved/Enrolled,1616.3337
86476,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1673.8004
86543,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1425.9832
86679,FrScA-S116-01,F,Other,Approved/Enrolled,2267.4
86709,FrScA-S116-01,M,Scheduling Conflict,Approved/Enrolled,1600.3334
86792,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,879.1998
86793,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,553.3835
86794,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1274.8167
86803,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3344.1504
86815,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1666.7332
87010,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1920.8168
87027,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1605.0336
87093,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,486.65
87163,FrScA-S116-01,F,Scheduling Conflict,Approved/Enrolled,1365.8501
87484,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3341.9499
87485,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1451.8836
87489,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1075.0999
87504,FrScA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1330.8502
87579,FrScA-S116-01,M,Scheduling Conflict,Approved/Enrolled,1451.9169
87805,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1388.1167
87905,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,2166.8999
87906,FrScA-S116-01,F,Learning Preference of the Student,Approved/Enrolled,1095.6001
87914,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1156.1668
87927,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,3934.8498
88261,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1269.6667
88493,FrScA-S116-01,F,Course Unavailable at Local School,Dropped,56.3166
88501,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,3315.3331
88527,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,1551.6665
89128,FrScA-S116-01,F,Other,Approved/Enrolled,362.8837
90095,FrScA-S116-01,F,Other,Approved/Enrolled,1476.0832
90433,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,2689.2001
91173,FrScA-S116-01,F,Course Unavailable at Local School,Approved/Enrolled,756.0998
91471,FrScA-S116-01,M,Other,Approved/Enrolled,946.7998
92143,FrScA-S116-01,F,Other,Approved/Enrolled,1792.1003
92214,FrScA-S116-01,M,Course Unavailable at Local School,Approved/Enrolled,1101.833
53475,FrScA-S116-02,F,Course Unavailable at Local School,Dropped,NA
61357,FrScA-S116-02,F,Course Unavailable at Local School,Dropped,NA
62157,FrScA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,2497.1666
67762,FrScA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,801.2336
68768,FrScA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,1966.0169
77298,FrScA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,1907.6502
85258,FrScA-S116-02,F,Course Unavailable at Local School,Dropped,NA
85567,FrScA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,2544.3666
85661,FrScA-S116-02,F,Course Unavailable at Local School,Approved/Enrolled,1375.4834
85698,FrScA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,1070.2167
86627,FrScA-S116-02,M,Course Unavailable at Local School,Approved/Enrolled,2193.117
91340,FrScA-S116-02,F,Learning Preference of the Student,Approved/Enrolled,1182.9332
57224,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2356.4668
70068,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2101.933
73132,FrScA-S116-03,F,Other,Approved/Enrolled,1746.5501
77976,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2448.4838
78691,FrScA-S116-03,F,Learning Preference of the Student,Approved/Enrolled,1559.9667
85573,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1978.0169
85574,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1871.1168
85700,FrScA-S116-03,M,Course Unavailable at Local School,Approved/Enrolled,787.2831
85701,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2381.6998
85702,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,638.7338
85704,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1376.483
85891,FrScA-S116-03,M,Course Unavailable at Local School,Approved/Enrolled,1784.2506
86309,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1219.4837
86618,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2393.4669
86882,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1294.8334
88409,FrScA-S116-03,M,Learning Preference of the Student,Approved/Enrolled,2313.5495
88636,FrScA-S116-03,M,Course Unavailable at Local School,Approved/Enrolled,1284.8333
88835,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2062.95
88836,FrScA-S116-03,F,Learning Preference of the Student,Approved/Enrolled,152.7499
88868,FrScA-S116-03,M,Course Unavailable at Local School,Approved/Enrolled,1174.3499
88874,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,700.9668
88886,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1598.3499
89144,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2582.4167
89165,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,2571.5334
89168,FrScA-S116-03,F,Course Unavailable at Local School,Dropped,60.65
89376,FrScA-S116-03,F,Other,Approved/Enrolled,3780.5335
89388,FrScA-S116-03,F,Other,Approved/Enrolled,2999.8498
90097,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1145.5167
90098,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1692.6164
90274,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1517.5835
90370,FrScA-S116-03,F,Other,Approved/Enrolled,3890
90372,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1378.984
90589,FrScA-S116-03,F,Learning Preference of the Student,Dropped,123.1833
90855,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,1103.0832
90878,FrScA-S116-03,M,Scheduling Conflict,Approved/Enrolled,1178.0834
92604,FrScA-S116-03,F,Course Unavailable at Local School,Approved/Enrolled,811.4334
88075,FrScA-S116-04,F,Learning Preference of the Student,Approved/Enrolled,4323.8332
90996,FrScA-S116-04,M,Course Unavailable at Local School,Dropped,58.1833
91176,FrScA-S116-04,F,Course Unavailable at Local School,Approved/Enrolled,3868.5332
91326,FrScA-S116-04,F,Other,Approved/Enrolled,792.6166
91477,FrScA-S116-04,M,Other,Approved/Enrolled,1192.1837
47448,FrScA-S216-01,F,Other,Approved/Enrolled,860.4335
53475,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1867.4169
55078,FrScA-S216-01,M,Learning Preference of the Student,Approved/Enrolled,2130.7497
57188,FrScA-S216-01,M,Learning Preference of the Student,Approved/Enrolled,2193.0833
65116,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1918.6166
66689,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1137.8334
67463,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1359.033
68795,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,3022.5333
69182,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,444.4832
69397,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1087.6003
71110,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2006.4003
71415,FrScA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,408.4
77190,FrScA-S216-01,F,Other,Approved/Enrolled,763.1498
78000,FrScA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,1366.5835
85123,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1341.7002
85258,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,2285.7836
85287,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,156.5829
85583,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,3382.9006
85642,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1627.3499
85644,FrScA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,890.4333
85659,FrScA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,816.7002
85796,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1024.7833
86229,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1210.0499
86251,FrScA-S216-01,F,Other,Approved/Enrolled,1374.95
86349,FrScA-S216-01,F,Scheduling Conflict,Approved/Enrolled,847.9663
86490,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1101.2833
86515,FrScA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,846.0835
86836,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1422.7335
87020,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1788.9003
87861,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,3303.3832
88596,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1395.8998
88845,FrScA-S216-01,F,Course Unavailable at Local School,Approved/Enrolled,1075.6163
88854,FrScA-S216-01,M,Course Unavailable at Local School,Approved/Enrolled,885.9167
