student_id,course_id,total_points_possible,total_points_earned
67762,FrScA-S116-02,1212,1019.1500000000001
67920,OcnA-S116-01,1676,1572.45
68022,OcnA-S216-01,1833,1683.91
68188,FrScA-S116-01,1212,1132
68476,OcnA-S116-02,1676,1588.29
68598,BioA-S116-01,2420,2120.61
68768,FrScA-S116-02,1212,815.95
68795,FrScA-S216-01,1232,1083
69072,FrScA-S116-01,1212,1145
69182,FrScA-S216-01,1232,1133
69397,FrScA-S216-01,1232,1170
69544,FrScA-S216-04,1217,1152.75
69743,AnPhA-S216-01,1775,1579.25666
69937,BioA-S116-01,2420,0
70037,FrScA-S116-01,1212,1139
70068,FrScA-S116-03,1212,1164.75
70187,PhysA-S216-01,2225,1961
70192,AnPhA-S116-02,1775,1721.08333
70408,BioA-S116-01,2420,2198.5
70532,AnPhA-S116-01,1775,1673.62
70681,BioA-S116-01,2420,2198.05
71110,FrScA-S216-01,1232,1092
71415,FrScA-S216-01,1232,278
71434,BioA-S116-01,2420,2015.32
71725,AnPhA-S216-01,1775,1385.31333
72287,FrScA-T116-01,1212,1106.9
73132,FrScA-S116-03,1212,1083.63
74551,PhysA-S116-01,2225,1605.09
74552,AnPhA-S216-02,1775,1724
76132,AnPhA-T116-01,1775,1711.74
76133,PhysA-S116-01,2225,2089.2
76426,PhysA-S116-01,2225,2159
76443,OcnA-S216-01,1833,749.0500000000001
76673,AnPhA-S216-01,1775,1672.75
76674,AnPhA-S216-01,1775,1705.6
76840,AnPhA-S216-01,1655,1269.085
76840,FrScA-S116-01,1212,1128
76891,OcnA-S116-01,1676,1536.56
76930,AnPhA-S116-02,1775,1480.68
76998,AnPhA-S216-01,1775,835.54666
77010,AnPhA-S116-01,1775,1321.6166699999999
77067,FrScA-S216-02,1217,100
77141,FrScA-S216-02,1217,1060.5
77169,BioA-S116-01,2420,2321
77190,FrScA-S216-01,1232,1135
77246,FrScA-S116-01,1212,1071
77298,FrScA-S116-02,1212,956.49
77976,FrScA-S116-03,1212,1095.1200000000001
77980,FrScA-S216-02,1217,1154
78000,FrScA-S216-01,1232,1120
78002,OcnA-S216-02,1676,1288.9199999999998
78153,PhysA-S216-01,2225,2216
78164,AnPhA-S216-01,1775,1396.97
78241,OcnA-S216-02,1676,1040
78691,FrScA-S116-03,1212,1154
79128,PhysA-S116-01,2225,2142.6
79220,AnPhA-S116-02,1775,1642.38
79352,PhysA-S116-01,2225,2145.5
79596,PhysA-S116-01,2225,2073.5
79859,AnPhA-T116-01,1775,1336.61
79893,OcnA-T116-01,1676,1583.81
80822,OcnA-S216-01,1833,1667.3
84632,PhysA-T116-01,2225,2181
84640,AnPhA-T116-01,1775,1541.18
84641,AnPhA-T116-01,1775,1553.53666
84645,OcnA-T116-01,1676,450.6
84684,OcnA-T116-01,1676,1546.3899999999999
84685,OcnA-T116-01,1676,1394.41
84749,AnPhA-T116-01,1775,1552.97
84757,AnPhA-T116-01,1775,1586.525
84794,BioA-T116-01,2420,1697.03
84932,OcnA-S216-01,1833,1619.72
85123,FrScA-S216-01,1232,1041
85248,AnPhA-S216-01,1775,1680.80333
85249,AnPhA-S116-01,1775,1602.96
85258,FrScA-S116-02,1212,0
85258,FrScA-S216-01,1232,1097
85287,FrScA-S216-01,1232,1170
85292,BioA-S116-01,2420,2267.85
85323,FrScA-S116-01,1212,301
85348,FrScA-S216-03,1222,973.85
85355,OcnA-S116-01,1676,471.2
85390,PhysA-S116-01,2225,110
85410,OcnA-S116-02,1676,1572.5
85411,AnPhA-S116-01,1775,1631.98333
85416,FrScA-S116-01,1212,1157
85431,FrScA-S116-01,1212,1124
85432,FrScA-S116-01,1212,788
85433,FrScA-S116-01,1212,913
85443,FrScA-S116-01,1212,1047
85482,OcnA-S116-02,1676,1443.32
85487,OcnA-S116-02,1676,0
85522,PhysA-S116-01,2225,2200
85539,FrScA-S116-01,1212,1092
85567,FrScA-S116-02,1212,876.62
85573,FrScA-S116-03,1212,917.68
85574,FrScA-S116-03,1212,1177.13
85579,FrScA-S116-01,1212,1175
85583,AnPhA-S116-01,1775,1633.10333
85583,FrScA-S216-01,1232,1116
85642,FrScA-S216-01,1232,1049
85644,FrScA-S216-01,1232,1062
85644,OcnA-S116-01,1676,1360.3500000000001
85649,FrScA-S116-01,1212,1043
85650,FrScA-S116-01,1212,1221
85651,FrScA-S116-01,1212,837.75
85659,FrScA-S116-01,1212,0
85659,FrScA-S216-01,1232,920
85661,FrScA-S116-02,1212,1066.33
85662,FrScA-S116-01,1212,75
85663,FrScA-S116-01,1212,785
85665,FrScA-S116-01,1212,1181
85668,FrScA-S116-01,1212,735
85698,FrScA-S116-02,1212,559.5
85700,FrScA-S116-03,1212,1092.53
85701,FrScA-S116-03,1212,1121.15
85702,FrScA-S116-03,1212,1067.04
85704,FrScA-S116-03,1212,960
85791,FrScA-S116-01,1212,1185
85792,FrScA-S116-01,1212,1091
85796,FrScA-S216-01,1232,1126
85865,AnPhA-S116-01,1775,959.91333
85866,AnPhA-S116-01,1775,1373.36
85867,FrScA-S216-04,1217,1073.26
85889,BioA-S116-01,2420,326
85891,FrScA-S116-03,1212,1054.02
85929,FrScA-S116-01,1212,1051
85930,FrScA-S116-01,1212,1034
85953,PhysA-S116-01,2225,2154
85962,PhysA-S116-01,2225,1986.8
85970,AnPhA-S116-01,1775,1538.4
86002,FrScA-S216-04,1217,1112.35
86067,BioA-S116-01,2420,2200.8
86072,AnPhA-S116-01,1775,1682.97
86105,FrScA-S116-01,1212,1113
86110,BioA-S116-01,2420,1784.76
86113,BioA-S116-01,2420,1850.55
86119,AnPhA-S116-01,1775,1311.6200000000001
86130,BioA-S116-01,2420,1629.24
86133,OcnA-S116-02,1676,1367.56
86202,BioA-S116-01,2420,1190.39
86216,BioA-S116-01,2420,2226.61
86229,FrScA-S216-01,1232,1050
86240,OcnA-S216-01,1833,1318.05
86251,FrScA-S216-01,1232,914
86267,AnPhA-S116-01,1775,776.77
86268,AnPhA-S216-01,1775,1686.26667
86271,FrScA-S116-01,1212,1193
86275,AnPhA-S116-01,1775,1680.88
86277,AnPhA-S116-01,1775,1616.36666
86280,FrScA-S116-01,1212,1048
86286,AnPhA-S116-01,1775,1726.25
86294,AnPhA-S116-01,1775,1514.66667
86296,OcnA-S216-01,1833,1328.54
86309,FrScA-S116-03,1212,853.73
86314,AnPhA-S116-02,1775,1486.01333
86339,FrScA-S116-01,1212,1125
86340,FrScA-S116-01,1212,1173
86340,OcnA-S216-01,1833,358.75
86349,FrScA-S216-01,1232,1100
86349,OcnA-S116-01,1676,1564.96
86353,PhysA-S116-01,2225,1898.7
86364,FrScA-S116-01,1212,979
86365,FrScA-S116-01,1212,1197
86429,AnPhA-S116-01,1775,1604.61
86432,AnPhA-S116-01,1775,1330.71333
86446,AnPhA-S116-01,1775,1560.63
86451,AnPhA-S116-01,1775,1692.77
86455,FrScA-S116-01,1212,1107
86455,OcnA-S216-01,1833,1689
86460,OcnA-S116-01,1676,1515.73
86476,AnPhA-S116-01,1775,1656.06166
86476,FrScA-S116-01,1212,1161
86479,AnPhA-S116-01,1775,1653.81667
86484,AnPhA-S116-01,1775,1496.61
86488,AnPhA-S116-01,1775,1583.005
86490,FrScA-S216-01,1232,1155
86492,AnPhA-S116-01,1775,708.2750000000001
86504,AnPhA-S116-01,1775,1328.3700000000001
86515,FrScA-S216-01,1232,1066
86527,OcnA-S216-01,1833,1497.23
86543,FrScA-S116-01,1212,977
86580,BioA-S116-01,2420,1941.75
86588,AnPhA-S116-01,1775,534
86608,AnPhA-S116-01,1775,1404.09
86618,FrScA-S116-03,1212,653.11
86627,FrScA-S116-02,1212,745.73
86679,FrScA-S116-01,1212,1161
86689,OcnA-S116-02,1676,1316.2
86697,OcnA-S216-02,1676,1472.37
86707,AnPhA-S116-02,1775,1562.8533400000001
86709,FrScA-S116-01,1212,1173
86758,OcnA-S116-01,1676,1603.7
86792,FrScA-S116-01,1212,1201
86793,FrScA-S116-01,1212,1181
86794,FrScA-S116-01,1212,1113
86803,FrScA-S116-01,1212,1088
86815,FrScA-S116-01,1212,1026
86836,FrScA-S216-01,1232,1120
86836,OcnA-S116-01,1676,50
86882,FrScA-S116-03,1212,995
86942,AnPhA-S216-01,1775,1515.7
86943,OcnA-S116-01,1676,1218.07
87001,OcnA-S116-02,1676,1300.25
87010,FrScA-S116-01,1212,1080
87020,FrScA-S216-01,1232,922.5
87027,FrScA-S116-01,1212,932
87043,AnPhA-S116-01,1775,1639.47
87081,BioA-S116-01,2420,311.25
87093,FrScA-S116-01,1212,860
87122,OcnA-S116-02,1676,230
87163,FrScA-S116-01,1212,1041
87166,AnPhA-S116-01,1775,1413.97333
87171,PhysA-S116-01,2225,2182
87209,OcnA-S116-02,1676,1443.85
87484,FrScA-S116-01,1212,1131
87485,FrScA-S116-01,1212,922
87489,FrScA-S116-01,1212,983
87504,FrScA-S116-01,1212,835
87552,BioA-S116-01,2420,2220
87579,FrScA-S116-01,1212,1175
87670,OcnA-S216-01,1833,1369.52
87689,BioA-T116-01,2420,1996.15
87693,FrScA-T116-01,1212,1090.47
87805,FrScA-S116-01,1212,1179
87825,OcnA-S216-01,1833,1726.28
87861,FrScA-S216-01,1232,1182
87865,AnPhA-T116-01,1775,1500.51333
87866,FrScA-T116-01,1212,1144.42
87905,FrScA-S116-01,1212,1149
87906,FrScA-S116-01,1212,1007
87914,FrScA-S116-01,1212,1149
87927,FrScA-S116-01,1212,977
87955,OcnA-T116-01,1676,1403.75
87970,OcnA-S116-01,1676,1472.1200000000001
87988,FrScA-S216-02,1217,40
88048,FrScA-S216-02,1217,1134
88050,AnPhA-S116-01,1775,1270.30666
88068,AnPhA-S116-01,1775,1275.17667
88075,FrScA-S116-04,1212,1004.73
88091,PhysA-S116-01,2225,2169.8
88099,AnPhA-S116-01,1775,1484.45166
88153,AnPhA-S116-01,1775,1646.79
88166,OcnA-S116-02,1676,1439.77
88168,OcnA-S116-02,1676,1607.2
88261,FrScA-S116-01,1212,1205
88282,OcnA-T116-01,1676,1556.4
88296,PhysA-S116-01,2225,1372.8
88307,OcnA-S116-03,1480,871.63
88311,FrScA-S216-04,1217,1147.75
88340,OcnA-T116-01,1676,1216.68
88381,PhysA-S116-01,2225,2188
88409,FrScA-S116-03,1212,919.54
88440,AnPhA-S216-01,1775,1542.94
88440,OcnA-S116-01,1676,1364.64
88474,OcnA-S216-01,1833,1109.4
88481,PhysA-S116-01,2225,895
88493,FrScA-S116-01,1212,75
88501,FrScA-S116-01,1212,1015
88504,OcnA-S216-01,1833,85
88527,FrScA-S116-01,1212,1141
88568,BioA-S116-01,2420,1035.16
88568,BioA-S216-01,2425,0
88596,FrScA-S216-01,1232,1129
88612,AnPhA-S216-01,1775,1453.3999999999999
88636,FrScA-S116-03,1212,908.02
88641,AnPhA-S116-01,1775,1550.88
88642,OcnA-S216-02,1676,1466.69
88703,OcnA-T116-01,1676,718.91
88803,OcnA-S216-02,1676,1208.74
88835,FrScA-S116-03,1212,1027.35
88836,FrScA-S116-03,1212,821.27
88845,FrScA-S216-01,1232,1124.5
88849,OcnA-S216-01,1833,1641.93
88854,FrScA-S216-01,1232,882.5
88854,OcnA-S116-01,1676,1333.13
88864,OcnA-S216-02,1676,1222.72
88868,FrScA-S116-03,1212,927.33
88874,FrScA-S116-03,1212,223.25
88886,FrScA-S116-03,1212,964.72
88979,AnPhA-S216-02,1775,431.5
88995,AnPhA-T116-01,1775,1561.865
89005,AnPhA-T116-01,1775,1593.39
89114,OcnA-S116-01,1676,1595.85
89128,FrScA-S116-01,1212,1072
89142,AnPhA-S116-01,1775,1704.83
89144,FrScA-S116-03,1212,1115.45
89165,FrScA-S116-03,1212,1119.5
89168,FrScA-S116-03,1212,25
89194,AnPhA-S116-01,1775,1511.43333
89295,PhysA-S116-01,2225,1737
89300,BioA-S116-01,2420,1450.75
89333,FrScA-S216-01,1232,1116
89345,FrScA-S216-01,1232,40
89374,FrScA-S216-01,1232,1027
89376,FrScA-S116-03,1212,1111.1000000000001
89388,FrScA-S116-03,1212,1139.83
89395,PhysA-S116-01,2225,1889.5
89425,PhysA-S116-01,2225,2036.3
89435,OcnA-S116-01,1676,1600.66
89465,FrScA-S216-01,1232,0
89487,OcnA-S116-01,1676,1436.27
89490,PhysA-S116-01,2225,1684
89918,AnPhA-S116-01,1775,1381.53
89994,FrScA-S216-02,1217,1114
90029,FrScA-S216-01,1232,827
90090,OcnA-S116-02,1676,1627.4
90095,FrScA-S116-01,1212,1005
90097,FrScA-S116-03,1212,927.08
90098,FrScA-S116-03,1212,1054.18
90253,BioA-S116-01,2420,1640.41
90274,FrScA-S116-03,1212,1145.45
90277,FrScA-S216-01,1232,1122
90305,AnPhA-S116-01,1775,1323.86666
90326,PhysA-S116-01,2225,1892.5
90333,PhysA-S116-01,2225,1585.2
90370,FrScA-S116-03,1212,788.35
90372,FrScA-S116-03,1212,774.69
90394,AnPhA-S116-02,1775,1374.84
90394,FrScA-S216-01,1232,719
90395,AnPhA-S116-02,1775,1506.96667
90396,AnPhA-S116-02,1775,1446.21333
90397,AnPhA-S116-02,1775,1555.68667
90398,AnPhA-S116-02,1775,1699.55667
90399,AnPhA-S116-02,1775,1625.98
90430,BioA-S116-01,2420,1861.08
90433,FrScA-S116-01,1212,1078
90466,BioA-S116-01,2420,2021.3
90516,AnPhA-T116-01,1775,1343.28
90562,OcnA-S116-01,1676,1388.47
90589,FrScA-S116-03,1212,132.95
90622,FrScA-S216-01,1232,1094
90636,FrScA-S216-01,1232,853
90855,FrScA-S116-03,1212,867.17
90861,OcnA-S116-01,1676,1508.25
90878,FrScA-S116-03,1212,1094.15
90928,OcnA-S116-01,1676,1244.07
90956,AnPhA-S116-02,1775,1641.59
90971,AnPhA-S116-02,1775,1445.77667
90989,FrScA-S216-01,1232,1090
90995,AnPhA-S116-02,1775,157.5
90995,BioA-S116-01,2420,0
90996,FrScA-S116-04,1212,27.5
90996,OcnA-S216-01,1833,53.75
91030,PhysA-S116-01,2225,2036
91038,PhysA-S116-01,2225,1768.1
91065,AnPhA-S116-02,1775,1077.66667
91066,BioA-S116-01,2420,884
91067,BioA-S116-01,2420,2413.5
91163,OcnA-S216-02,1676,1621.25
91164,AnPhA-S216-02,1775,1566.05
91173,FrScA-S116-01,1212,907
91175,AnPhA-S116-02,1775,1519.21333
91176,FrScA-S116-04,1212,1168.1
91212,FrScA-S216-01,1232,1088
91252,OcnA-S216-02,1676,1212.78
91300,BioA-S116-01,2420,2313.25
91313,AnPhA-S216-01,1775,1543.62
91319,AnPhA-S116-02,1775,1531.03
91320,AnPhA-S116-02,1775,685.66666
91326,AnPhA-S216-01,1775,927.5
91326,FrScA-S116-04,1212,753.28
91340,FrScA-S116-02,1212,1046.07
91351,BioA-S116-01,2420,313.75
91410,FrScA-S216-02,1217,743
91471,FrScA-S116-01,1212,947
91477,FrScA-S116-04,1212,1110.85
91550,FrScA-S216-02,1217,855
91574,AnPhA-S116-02,1775,1449.6366600000001
91575,PhysA-S116-01,2225,2147
91607,FrScA-S216-02,1217,853
91611,BioA-S116-01,2420,2268
91619,AnPhA-S116-02,1775,722.75
91624,BioA-S116-01,2420,1981.77
91633,PhysA-S116-01,2225,1930
91634,AnPhA-S116-02,1775,1556.47666
91635,OcnA-S116-01,1676,1275.57
91672,AnPhA-S116-02,1775,1649.425
91709,AnPhA-S116-02,1775,1592.73
91771,AnPhA-S116-02,1775,691
91818,OcnA-S116-01,1676,1622.76
91821,PhysA-S116-01,2225,2114
91932,AnPhA-S116-02,1775,1496.71666
91943,FrScA-S216-02,1217,1133
92021,OcnA-S116-02,1676,1458.25
92124,FrScA-S216-01,1232,954
92143,FrScA-S116-01,1212,1143
92152,BioA-S116-01,2420,2242.48
92185,AnPhA-S116-02,1775,1663.11
92214,FrScA-S116-01,1212,1047.25
92510,BioA-S116-01,2420,2287.75
92511,PhysA-S116-01,2225,1620.8
92604,FrScA-S116-03,1212,150
92606,BioA-S116-01,2420,265
92606,BioA-S216-01,2425,5
92633,BioA-S116-01,2420,140
92724,PhysA-S116-01,2225,2095
92725,PhysA-S116-01,2225,2147.5
92726,PhysA-S116-01,2225,2190
92727,PhysA-S116-01,2225,2183
92729,PhysA-S116-01,2225,2100.5
92732,PhysA-S116-01,2225,2067.5
92733,PhysA-S116-01,2225,2134
92740,PhysA-S116-01,2225,2186
92741,PhysA-S116-01,2225,2182
92743,PhysA-S116-01,2225,2070.5
94070,FrScA-S216-01,1232,1170
94135,FrScA-S216-01,1232,1074
94156,FrScA-S216-01,1232,1182
94172,FrScA-S216-01,1232,1130
94189,PhysA-S216-01,2225,2051.5
94219,AnPhA-S216-02,1775,123.5
94240,OcnA-S216-02,1676,1527.65
94246,AnPhA-S216-01,1775,925.485
94251,PhysA-S216-01,2225,2167
94257,FrScA-S216-01,1232,1122
94288,FrScA-S216-01,1232,1134
94292,FrScA-S216-01,1232,1098
94319,OcnA-S216-01,1833,1110.28
94323,OcnA-S216-01,1833,1713.75
94327,OcnA-S216-02,1676,435.8
94331,FrScA-S216-01,1232,332
94332,FrScA-S216-01,1232,1087
94356,FrScA-S216-01,1232,100
94369,FrScA-S216-03,1222,852.9
94370,FrScA-S216-01,1232,1166
94376,FrScA-S216-01,1232,1150
94400,FrScA-S216-01,1232,1068
94402,FrScA-S216-01,1232,1165
94404,FrScA-S216-01,1232,1057
94419,FrScA-S216-01,1232,1105
94542,AnPhA-S216-02,1775,927
94545,AnPhA-S216-02,1775,1170.25
94550,AnPhA-S216-02,1775,1605.4
94556,OcnA-S216-02,1676,1409.68
94577,OcnA-S216-02,1676,1494.39
94586,FrScA-S216-01,1232,1002.5
94590,OcnA-S216-01,1833,1441.48
94630,OcnA-S216-01,1833,102.5
94654,OcnA-S216-01,1833,1530.77
94661,FrScA-S216-01,1232,922
94691,AnPhA-S216-01,1775,333.15
94717,OcnA-S216-01,1833,1278.6499999999999
94744,OcnA-S216-01,1833,1786.76
94756,FrScA-S216-01,1232,894
94805,AnPhA-S216-01,1775,1606.04
94824,FrScA-S216-01,1232,1196
94846,AnPhA-S216-01,1775,1314.56666
94869,FrScA-S216-01,1232,711
94872,AnPhA-S216-01,1775,1207.25667
94876,OcnA-S216-02,1676,87.5
94898,AnPhA-S216-02,1775,1495.64
94903,AnPhA-S216-02,1775,1241.505
94956,OcnA-S216-01,1833,1186.22
94970,PhysA-S216-01,2225,2136
95005,FrScA-S216-01,1232,1174
95014,AnPhA-S216-01,1775,1715.65
95017,AnPhA-S216-02,1775,1546
95041,AnPhA-S216-02,1775,431.4
95045,FrScA-S216-01,1232,869.5
95091,OcnA-S216-01,1833,1125.09
95114,AnPhA-S216-01,1775,203.375
95160,AnPhA-S216-02,1775,1721.13
95165,FrScA-S216-01,1232,1137
95264,AnPhA-S216-02,1775,175
95266,PhysA-S216-01,2225,2054
95283,AnPhA-S216-01,1775,1648.06
95283,PhysA-S216-01,2225,150
95360,FrScA-S216-01,1232,1130
95368,OcnA-S216-02,1676,1544.3999999999999
95375,OcnA-S216-02,1676,1577.96
95377,AnPhA-S216-02,1775,1351.18
95449,FrScA-S216-01,1232,672
95476,FrScA-S216-02,1217,834
95485,FrScA-S216-01,1232,591
95504,OcnA-S216-01,1833,882.35
95533,OcnA-S216-01,1833,576.65
95545,AnPhA-S216-01,1775,1469.26
95578,PhysA-S216-01,2225,2041
95594,AnPhA-S216-01,1775,782.16666
95601,AnPhA-S216-01,1775,1584.43667
95618,AnPhA-S216-01,1775,1265.95333
95620,AnPhA-S216-01,1775,1336.29
95621,FrScA-S216-01,1232,1178
95624,OcnA-S216-02,1676,1491.1299999999999
95632,FrScA-S216-01,1232,831.5
95633,FrScA-S216-01,1232,932
95634,AnPhA-S216-01,1775,1429.49331
95658,BioA-S216-01,2425,2010.5
95684,FrScA-S216-01,1232,12
95707,BioA-S216-01,2425,2190.8
95725,OcnA-S216-01,1833,1262.33
95726,FrScA-S216-01,1232,1156
95738,OcnA-S216-01,1833,30
95743,FrScA-S216-01,1232,1184
95770,OcnA-S216-01,1833,1701.25
95868,OcnA-S216-02,1676,915.03
95896,FrScA-S216-01,1232,925.5
95915,AnPhA-S216-01,1775,1358.42167
95919,AnPhA-S216-02,1775,1545.67666
95919,FrScA-S216-02,1217,1151.75
95921,OcnA-S216-02,1676,1389.38
95923,FrScA-S216-02,1217,1126
95925,FrScA-S216-02,1217,1128
95957,AnPhA-S216-01,1775,1279.35
95989,FrScA-S216-01,1232,1063.5
95991,FrScA-S216-01,1232,1007.5
96027,PhysA-S216-01,2225,1822.25
96048,FrScA-S216-04,1217,904.26
96082,FrScA-S216-02,1217,727
96090,PhysA-S216-01,2225,385
96121,OcnA-S216-01,1833,1478.72
96134,FrScA-S216-02,1217,1104
96142,FrScA-S216-02,1217,1104
96189,FrScA-S216-02,1217,1090
96228,AnPhA-S216-01,1775,1625.18
96280,FrScA-S216-02,1217,1009
96345,OcnA-S216-01,1833,1238.65
96373,OcnA-S216-01,1833,1395.81
96374,OcnA-S216-01,1833,1396.85
96412,OcnA-S216-01,1833,1310.59
96414,FrScA-S216-02,1217,920
96433,FrScA-S216-02,1217,1154
96472,PhysA-S216-01,2225,1693.5
96590,PhysA-S216-01,2225,535
96640,AnPhA-S216-01,1775,198
96671,OcnA-S216-01,1833,795.3
96677,AnPhA-S216-01,1775,162.5
96680,AnPhA-S216-01,1775,1088.32
96689,OcnA-S216-01,1833,1526.17
96690,AnPhA-S216-01,1775,1212.72
96720,AnPhA-S216-01,1775,374.25
96756,OcnA-S216-01,1833,1668.8
96769,FrScA-S216-02,1217,704
96808,PhysA-S216-01,2225,2081
96826,AnPhA-S216-02,1775,1597.31
96841,FrScA-S216-02,1217,1148
96853,AnPhA-S216-01,1775,1542.19666
96854,AnPhA-S216-01,1775,1539.30333
96856,OcnA-S216-01,1833,388.9
96867,PhysA-S216-01,2225,2019
96871,AnPhA-S216-02,1775,1489.35332
96950,BioA-S216-01,2425,2214
96959,AnPhA-S216-01,1775,1252.4
96994,AnPhA-S216-01,1775,1602.55667
97006,OcnA-S216-01,1833,1287.73
97150,PhysA-S216-01,2225,1458.4
97265,PhysA-S216-01,2225,1946.6
97272,OcnA-S216-01,1833,1539.08
97374,BioA-S216-01,2425,474.5
97386,BioA-S216-01,2425,1470.9
97441,FrScA-S216-02,1217,399
254633,FrScA-S217-01,1217,1121
254684,FrScA-S217-01,1217,971.52
254901,FrScA-S217-02,1361,1254.77
254944,FrScA-S217-01,1217,1014.75
254973,FrScA-S217-01,1217,1116.77
254978,FrScA-S217-01,1217,1117
255050,FrScA-S217-02,1361,94.35000000000001
255101,OcnA-S217-01,1781,1198.26
255176,OcnA-S217-01,1791,1703.15
255180,AnPhA-S217-02,1775,1723.13
255191,OcnA-S217-01,1791,1542.6200000000001
255229,FrScA-S217-01,1217,1037.72
255266,AnPhA-S217-02,1775,120
255324,FrScA-S217-02,1361,1263.12
255325,FrScA-S217-02,1361,1278.22
255533,AnPhA-S217-01,1805,1641.75
255541,FrScA-S217-01,1217,901.28
255627,OcnA-S217-01,1791,1622.33
255712,FrScA-S217-01,1217,1113.02
255723,FrScA-S217-01,1217,1052.22
255737,OcnA-S217-01,1791,1184.15
255786,FrScA-S217-02,1361,1095.5
255822,FrScA-S217-02,1361,0
256076,FrScA-S217-01,1217,157
256269,FrScA-S217-02,1361,1073.4
256345,OcnA-S217-01,1791,1614.95
256421,FrScA-S217-02,1361,976.33
256422,FrScA-S217-02,1361,1125.8500000000001
256509,AnPhA-S217-02,1775,1624.9
256631,AnPhA-S217-01,1805,1207.25999
256640,FrScA-S217-01,1217,1085.52
256688,FrScA-S217-01,1217,1012.9
257139,FrScA-S217-03,1237,1120.75
257143,FrScA-S217-01,1217,931.7
257144,FrScA-S217-01,1217,1066.95
257145,FrScA-S217-01,1217,957.0500000000001
257148,FrScA-S217-01,1217,80
257150,FrScA-S217-01,1217,927
257191,OcnA-S217-03,1676,1578
257192,OcnA-S217-03,1676,1427.3999999999999
257214,OcnA-S217-03,1526,1237.8
257238,AnPhA-S217-02,1775,175
257247,FrScA-S217-02,1361,689.15
257251,FrScA-S217-02,1361,1181.47
257354,OcnA-S217-01,1791,1532.82
257376,FrScA-S217-01,1217,823.45
257405,OcnA-S217-01,1791,1699.2
257496,FrScA-S217-01,1217,1151.6
257520,FrScA-S217-02,1361,1047.1200000000001
257523,FrScA-S217-01,1217,964.5
257580,AnPhA-S217-01,1805,1725.76
257582,OcnA-S217-01,1791,1459.75
257763,FrScA-S217-02,1361,1094.6
257838,FrScA-S217-01,1217,912.25
257936,FrScA-S217-01,1217,921.75
257986,AnPhA-S217-01,1805,704.775
258005,FrScA-S217-01,1217,37.5
258105,FrScA-S217-02,1361,1034.37
258137,AnPhA-S217-01,1805,1661.785
258139,PhysA-S217-01,2225,2179
258163,AnPhA-S217-01,1805,1680.54666
258224,FrScA-S217-02,1361,65
258258,FrScA-S217-02,1361,1073
258439,FrScA-S217-02,1361,1266
258490,AnPhA-S217-01,1805,1243.33166
258502,AnPhA-S217-01,1795,1429.93
258503,AnPhA-S217-01,1795,1477.245
258549,FrScA-S217-02,1361,1068.27
258618,FrScA-S217-02,1361,1051.77
258619,FrScA-S217-02,1361,981.6
258730,AnPhA-S217-01,1805,1317.17
258997,AnPhA-S217-01,1805,1524.8999999999999
259051,FrScA-S217-02,1361,1259
259059,FrScA-S217-02,1361,1319.02
259107,FrScA-S217-02,1361,738.77
259184,FrScA-S217-03,1237,985.02
259396,OcnA-S217-01,1791,554.75
259488,FrScA-S217-03,1237,1024.85
259714,FrScA-S217-03,1237,1172
