course_id,student_id,gradebook_item,grade_category,points_possible,points_earned
AnPhA-S116-01,60186,Unit 5 Assessment: Fitness Class Poster,Hw,10,6
AnPhA-S116-01,60186,6.1: Quiz,Qz,5,5
AnPhA-S116-01,60186,6.2: Helmet Law - Discussion Board,Hw,30,24
AnPhA-S116-01,60186,6.3 - 6.4: Quiz,Qz,438,405
AnPhA-S116-01,60186,6.5: Diagramming the Nervous System,Hw,10,10
AnPhA-S116-01,60186,Unit 6 Assessment: Test,Qz,50,38
AnPhA-S116-01,60186,PROGRESS CHECK 4 @ 12-18-15,NA,50,50
AnPhA-S116-01,60186,7.1: Quiz,Qz,75,55
AnPhA-S116-01,60186,7.2: Virtual Eye Dissection,Hw,10,NA
AnPhA-S116-01,60186,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,15,8
AnPhA-S116-01,60186,7.4: Quiz,Qz,30,30
AnPhA-S116-01,60186,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,10,10
AnPhA-S116-01,60186,8.1 - 8.3: Quiz,Qz,10,10
AnPhA-S116-01,60186,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,5,5
AnPhA-S116-01,60186,8.5: Modeling Leptin and Obesity,Hw,5,5
AnPhA-S116-01,60186,Unit 8 Assessment: Test,Qz,10,9
AnPhA-S116-01,60186,Final Exam,NA,10,10
AnPhA-S116-01,60186,POINTS EARNED & TOTAL COURSE POINTS,NA,10,8
AnPhA-S116-01,66693,POINTS EARNED & TOTAL COURSE POINTS,NA,24,24
AnPhA-S116-01,66693,WORK ATTEMPTED,NA,10,6.25
AnPhA-S116-01,66693,0.1: Message Your Instructor,NA,30,24
AnPhA-S116-01,66693,0.2: Intro Assignment - Discussion Board,Hw,5,5
AnPhA-S116-01,66693,0.3: Intro Assignment - Submitting Files,Hw,5,5
AnPhA-S116-01,66693,1.1: Quiz,Qz,24,16
AnPhA-S116-01,66693,1.2: Quiz,Qz,130,127
AnPhA-S116-01,66693,1.3: Create a Living Creature,Hw,5,5
AnPhA-S116-01,66693,1.3: Create a Living Creature - Discussion Board,Hw,20,20
AnPhA-S116-01,66693,1.4: Negative Feedback Loop Flowchart,Hw,10,8.75
AnPhA-S116-01,66693,1.5: Quiz,Qz,10,9.5
AnPhA-S116-01,66693,Unit 1 Assessment: Pickle Autopsy Lab,Hw,15,NA
AnPhA-S116-01,66693,PROGRESS CHECK 1 @ 10-02-15,NA,5,5
AnPhA-S116-01,66693,2.1: Types of Membranes,Hw,5,5
AnPhA-S116-01,66693,2.2 - 2.3: Quiz,Qz,30,NA
AnPhA-S116-01,66693,2.4 - 2.5 Quiz,Qz,5,5
AnPhA-S116-01,66693,2.6: Quiz,Qz,5,5
AnPhA-S116-01,66693,Unit 2 Assessment: Test,Qz,10,7
AnPhA-S116-01,66693,3.1: Models of the Integumentary System,Hw,10,10
AnPhA-S116-01,66693,3.2 - 3.3: Quiz,Qz,10,NA
AnPhA-S116-01,66693,3.4: Skin Twin - Discussion Board,Hw,30,25.88
AnPhA-S116-01,66693,Unit 3 Assessment: UV Exposure Lab,Hw,10,10
AnPhA-S116-01,66693,PROGRESS CHECK 2 @ 10-28-15,NA,5,5
AnPhA-S116-01,66693,4.2: Balloon Skull Lab,Hw,10,10
AnPhA-S116-01,66693,4.1 - 4.3: Quiz,Qz,10,10
AnPhA-S116-01,66693,4.4: Quiz,Qz,10,NA
AnPhA-S116-01,66693,4.5: Muscle Movements in our Daily Life,Hw,20,10
AnPhA-S116-01,66693,4.6: Soda and Osteoporosis Research Writing,Hw,438,400.38
AnPhA-S116-01,66693,Unit 4 Assessment: Test,Qz,457,385.01
AnPhA-S116-01,66693,5.1: Quiz,Qz,5,5
AnPhA-S116-01,66693,5.4: Muscle Tissue Types Chart,Hw,10,4
AnPhA-S116-01,66693,5.2 - 5.4: Quiz,Qz,10,8.5
AnPhA-S116-01,66693,PROGRESS CHECK 3 @ 11-20-15,NA,10,NA
AnPhA-S116-01,66693,5.5: Naming Skeletal Muscle - Discussion Board,Hw,10,10
AnPhA-S116-01,66693,5.6: Quiz,Qz,10,10
AnPhA-S116-01,66693,Unit 5 Assessment: Fitness Class Poster,Hw,10,6
AnPhA-S116-01,66693,6.1: Quiz,Qz,10,10
AnPhA-S116-01,66693,6.2: Helmet Law - Discussion Board,Hw,10,10
AnPhA-S116-01,66693,6.3 - 6.4: Quiz,Qz,10,6
AnPhA-S116-01,66693,6.5: Diagramming the Nervous System,Hw,30,30
AnPhA-S116-01,66693,Unit 6 Assessment: Test,Qz,30,24.7
AnPhA-S116-01,66693,PROGRESS CHECK 4 @ 12-18-15,NA,5,4
AnPhA-S116-01,66693,7.1: Quiz,Qz,10,3
AnPhA-S116-01,66693,7.2: Virtual Eye Dissection,Hw,10,10
AnPhA-S116-01,66693,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,5,5
AnPhA-S116-01,66693,7.4: Quiz,Qz,5,5
AnPhA-S116-01,66693,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,5,3.05
AnPhA-S116-01,66693,8.1 - 8.3: Quiz,Qz,10,7
AnPhA-S116-01,66693,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,10,NA
AnPhA-S116-01,66693,8.5: Modeling Leptin and Obesity,Hw,28,28
AnPhA-S116-01,66693,Unit 8 Assessment: Test,Qz,10,10
AnPhA-S116-01,66693,Final Exam,NA,10,9
AnPhA-S116-01,66693,POINTS EARNED & TOTAL COURSE POINTS,NA,10,10
AnPhA-S116-01,66811,POINTS EARNED & TOTAL COURSE POINTS,NA,10,10
AnPhA-S116-01,66811,WORK ATTEMPTED,NA,28,20
AnPhA-S116-01,66811,0.1: Message Your Instructor,NA,10,9
AnPhA-S116-01,66811,0.2: Intro Assignment - Discussion Board,Hw,5,5
AnPhA-S116-01,66811,0.3: Intro Assignment - Submitting Files,Hw,24,14
AnPhA-S116-01,66811,1.1: Quiz,Qz,720,693.65
AnPhA-S116-01,66811,1.2: Quiz,Qz,635,528.63
AnPhA-S116-01,66811,1.3: Create a Living Creature,Hw,15,15
AnPhA-S116-01,66811,1.3: Create a Living Creature - Discussion Board,Hw,10,10
AnPhA-S116-01,66811,1.4: Negative Feedback Loop Flowchart,Hw,30,25
AnPhA-S116-01,66811,1.5: Quiz,Qz,30,27
AnPhA-S116-01,66811,Unit 1 Assessment: Pickle Autopsy Lab,Hw,20,20
AnPhA-S116-01,66811,PROGRESS CHECK 1 @ 10-02-15,NA,30,18
AnPhA-S116-01,66811,2.1: Types of Membranes,Hw,5,5
AnPhA-S116-01,66811,2.2 - 2.3: Quiz,Qz,50,47
AnPhA-S116-01,66811,2.4 - 2.5 Quiz,Qz,625,185.33333
AnPhA-S116-01,66811,2.6: Quiz,Qz,30,19.88
AnPhA-S116-01,66811,Unit 2 Assessment: Test,Qz,10,9.5
AnPhA-S116-01,66811,3.1: Models of the Integumentary System,Hw,50,50
AnPhA-S116-01,66811,3.2 - 3.3: Quiz,Qz,5,4
AnPhA-S116-01,66811,3.4: Skin Twin - Discussion Board,Hw,5,5
AnPhA-S116-01,66811,Unit 3 Assessment: UV Exposure Lab,Hw,10,10
AnPhA-S116-01,66811,PROGRESS CHECK 2 @ 10-28-15,NA,5,5
AnPhA-S116-01,66811,4.2: Balloon Skull Lab,Hw,5,5
AnPhA-S116-01,66811,4.1 - 4.3: Quiz,Qz,5,NA
AnPhA-S116-01,66811,4.4: Quiz,Qz,15,8
AnPhA-S116-01,66811,4.5: Muscle Movements in our Daily Life,Hw,5,4
AnPhA-S116-01,66811,4.6: Soda and Osteoporosis Research Writing,Hw,597,530.83
AnPhA-S116-01,66811,Unit 4 Assessment: Test,Qz,10,9.5
AnPhA-S116-01,66811,5.1: Quiz,Qz,30,27
AnPhA-S116-01,66811,5.4: Muscle Tissue Types Chart,Hw,30,22
AnPhA-S116-01,66811,5.2 - 5.4: Quiz,Qz,10,10
AnPhA-S116-01,66811,PROGRESS CHECK 3 @ 11-20-15,NA,10,10
AnPhA-S116-01,66811,5.5: Naming Skeletal Muscle - Discussion Board,Hw,5,5
AnPhA-S116-01,66811,5.6: Quiz,Qz,50,NA
AnPhA-S116-01,66811,Unit 5 Assessment: Fitness Class Poster,Hw,28,24
AnPhA-S116-01,66811,6.1: Quiz,Qz,50,50
AnPhA-S116-01,66811,6.2: Helmet Law - Discussion Board,Hw,10,7
AnPhA-S116-01,66811,6.3 - 6.4: Quiz,Qz,10,10
AnPhA-S116-01,66811,6.5: Diagramming the Nervous System,Hw,10,NA
AnPhA-S116-01,66811,Unit 6 Assessment: Test,Qz,465,380.2
AnPhA-S116-01,66811,PROGRESS CHECK 4 @ 12-18-15,NA,10,10
AnPhA-S116-01,66811,7.1: Quiz,Qz,377,325.95
AnPhA-S116-01,66811,7.2: Virtual Eye Dissection,Hw,25,25
AnPhA-S116-01,66811,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,10,10
AnPhA-S116-01,66811,7.4: Quiz,Qz,20,18
AnPhA-S116-01,66811,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,10,8
AnPhA-S116-01,66811,8.1 - 8.3: Quiz,Qz,5,9
AnPhA-S116-01,66811,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,465,400.04666
AnPhA-S116-01,66811,8.5: Modeling Leptin and Obesity,Hw,10,9
AnPhA-S116-01,66811,Unit 8 Assessment: Test,Qz,5,5
AnPhA-S116-01,66811,Final Exam,NA,10,8
AnPhA-S116-01,66811,POINTS EARNED & TOTAL COURSE POINTS,NA,5,4
AnPhA-S116-01,66862,POINTS EARNED & TOTAL COURSE POINTS,NA,15,12
AnPhA-S116-01,66862,WORK ATTEMPTED,NA,625,533.92333
AnPhA-S116-01,66862,0.1: Message Your Instructor,NA,140,124
AnPhA-S116-01,66862,0.2: Intro Assignment - Discussion Board,Hw,10,8
AnPhA-S116-01,66862,0.3: Intro Assignment - Submitting Files,Hw,10,8
AnPhA-S116-01,66862,1.1: Quiz,Qz,5,5
AnPhA-S116-01,66862,1.2: Quiz,Qz,10,6
AnPhA-S116-01,66862,1.3: Create a Living Creature,Hw,5,5
AnPhA-S116-01,66862,1.3: Create a Living Creature - Discussion Board,Hw,5,5
AnPhA-S116-01,66862,1.4: Negative Feedback Loop Flowchart,Hw,5,5
AnPhA-S116-01,66862,1.5: Quiz,Qz,24,6
AnPhA-S116-01,66862,Unit 1 Assessment: Pickle Autopsy Lab,Hw,10,10
AnPhA-S116-01,66862,PROGRESS CHECK 1 @ 10-02-15,NA,5,5
AnPhA-S116-01,66862,2.1: Types of Membranes,Hw,10,NA
AnPhA-S116-01,66862,2.2 - 2.3: Quiz,Qz,10,10
AnPhA-S116-01,66862,2.4 - 2.5 Quiz,Qz,10,10
AnPhA-S116-01,66862,2.6: Quiz,Qz,5,5
AnPhA-S116-01,66862,Unit 2 Assessment: Test,Qz,5,4
AnPhA-S116-01,66862,3.1: Models of the Integumentary System,Hw,15,14
AnPhA-S116-01,66862,3.2 - 3.3: Quiz,Qz,30,30
AnPhA-S116-01,66862,3.4: Skin Twin - Discussion Board,Hw,625,511.44333
AnPhA-S116-01,66862,Unit 3 Assessment: UV Exposure Lab,Hw,5,5
AnPhA-S116-01,66862,PROGRESS CHECK 2 @ 10-28-15,NA,24,22
AnPhA-S116-01,66862,4.2: Balloon Skull Lab,Hw,5,5
AnPhA-S116-01,66862,4.1 - 4.3: Quiz,Qz,597,386.75
AnPhA-S116-01,66862,4.4: Quiz,Qz,5,5
AnPhA-S116-01,66862,4.5: Muscle Movements in our Daily Life,Hw,10,9
AnPhA-S116-01,66862,4.6: Soda and Osteoporosis Research Writing,Hw,5,3
AnPhA-S116-01,66862,Unit 4 Assessment: Test,Qz,235,211.63
AnPhA-S116-01,66862,5.1: Quiz,Qz,40,40
AnPhA-S116-01,66862,5.4: Muscle Tissue Types Chart,Hw,30,21
AnPhA-S116-01,66862,5.2 - 5.4: Quiz,Qz,5,5
AnPhA-S116-01,66862,PROGRESS CHECK 3 @ 11-20-15,NA,10,NA
AnPhA-S116-01,66862,5.5: Naming Skeletal Muscle - Discussion Board,Hw,10,10
AnPhA-S116-01,66862,5.6: Quiz,Qz,5,NA
AnPhA-S116-01,66862,Unit 5 Assessment: Fitness Class Poster,Hw,30,26
AnPhA-S116-01,66862,6.1: Quiz,Qz,30,NA
AnPhA-S116-01,66862,6.2: Helmet Law - Discussion Board,Hw,10,10
AnPhA-S116-01,66862,6.3 - 6.4: Quiz,Qz,353,295.75
AnPhA-S116-01,66862,6.5: Diagramming the Nervous System,Hw,10,10
AnPhA-S116-01,66862,Unit 6 Assessment: Test,Qz,635,259
AnPhA-S116-01,66862,PROGRESS CHECK 4 @ 12-18-15,NA,5,NA
AnPhA-S116-01,66862,7.1: Quiz,Qz,10,NA
AnPhA-S116-01,66862,7.2: Virtual Eye Dissection,Hw,465,309.875
AnPhA-S116-01,66862,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,10,10
AnPhA-S116-01,66862,7.4: Quiz,Qz,5,5
AnPhA-S116-01,66862,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,50,50
AnPhA-S116-01,66862,8.1 - 8.3: Quiz,Qz,10,10
AnPhA-S116-01,66862,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,20,12
AnPhA-S116-01,66862,8.5: Modeling Leptin and Obesity,Hw,40,NA
AnPhA-S116-01,66862,Unit 8 Assessment: Test,Qz,20,12
AnPhA-S116-01,66862,Final Exam,NA,720,703.6
AnPhA-S116-01,66862,POINTS EARNED & TOTAL COURSE POINTS,NA,15,10
AnPhA-S116-01,67508,POINTS EARNED & TOTAL COURSE POINTS,NA,5,5
AnPhA-S116-01,67508,WORK ATTEMPTED,NA,30,13.5
AnPhA-S116-01,67508,0.1: Message Your Instructor,NA,10,10
AnPhA-S116-01,67508,0.2: Intro Assignment - Discussion Board,Hw,720,697
AnPhA-S116-01,67508,0.3: Intro Assignment - Submitting Files,Hw,10,6
AnPhA-S116-01,67508,1.1: Quiz,Qz,10,NA
AnPhA-S116-01,67508,1.2: Quiz,Qz,10,7
AnPhA-S116-01,67508,1.3: Create a Living Creature,Hw,10,10
AnPhA-S116-01,67508,1.3: Create a Living Creature - Discussion Board,Hw,37,NA
AnPhA-S116-01,67508,1.4: Negative Feedback Loop Flowchart,Hw,30,NA
AnPhA-S116-01,67508,1.5: Quiz,Qz,237,131.04
AnPhA-S116-01,67508,Unit 1 Assessment: Pickle Autopsy Lab,Hw,5,5
AnPhA-S116-01,67508,PROGRESS CHECK 1 @ 10-02-15,NA,5,5
AnPhA-S116-01,67508,2.1: Types of Membranes,Hw,5,2
AnPhA-S116-01,67508,2.2 - 2.3: Quiz,Qz,5,5
AnPhA-S116-01,67508,2.4 - 2.5 Quiz,Qz,5,5
AnPhA-S116-01,67508,2.6: Quiz,Qz,30,21
AnPhA-S116-01,67508,Unit 2 Assessment: Test,Qz,237,199.6
AnPhA-S116-01,67508,3.1: Models of the Integumentary System,Hw,10,9.5
AnPhA-S116-01,67508,3.2 - 3.3: Quiz,Qz,10,10
AnPhA-S116-01,67508,3.4: Skin Twin - Discussion Board,Hw,25,12
AnPhA-S116-01,67508,Unit 3 Assessment: UV Exposure Lab,Hw,15,15
AnPhA-S116-01,67508,PROGRESS CHECK 2 @ 10-28-15,NA,358,20
AnPhA-S116-01,67508,4.2: Balloon Skull Lab,Hw,10,NA
AnPhA-S116-01,67508,4.1 - 4.3: Quiz,Qz,10,8
AnPhA-S116-01,67508,4.4: Quiz,Qz,10,10
AnPhA-S116-01,67508,4.5: Muscle Movements in our Daily Life,Hw,5,5
AnPhA-S116-01,67508,4.6: Soda and Osteoporosis Research Writing,Hw,30,24
AnPhA-S116-01,67508,Unit 4 Assessment: Test,Qz,5,5
AnPhA-S116-01,67508,5.1: Quiz,Qz,10,9.07
AnPhA-S116-01,67508,5.4: Muscle Tissue Types Chart,Hw,40,30
AnPhA-S116-01,67508,5.2 - 5.4: Quiz,Qz,570,523.05
AnPhA-S116-01,67508,PROGRESS CHECK 3 @ 11-20-15,NA,10,NA
AnPhA-S116-01,67508,5.5: Naming Skeletal Muscle - Discussion Board,Hw,10,10
AnPhA-S116-01,67508,5.6: Quiz,Qz,10,8
AnPhA-S116-01,67508,Unit 5 Assessment: Fitness Class Poster,Hw,10,9
AnPhA-S116-01,67508,6.1: Quiz,Qz,5,4.5
AnPhA-S116-01,67508,6.2: Helmet Law - Discussion Board,Hw,10,9
AnPhA-S116-01,67508,6.3 - 6.4: Quiz,Qz,5,5
AnPhA-S116-01,67508,6.5: Diagramming the Nervous System,Hw,28,22
AnPhA-S116-01,67508,Unit 6 Assessment: Test,Qz,10,9
AnPhA-S116-01,67508,PROGRESS CHECK 4 @ 12-18-15,NA,10,10
AnPhA-S116-01,67508,7.1: Quiz,Qz,10,10
AnPhA-S116-01,67508,7.2: Virtual Eye Dissection,Hw,30,28.5
AnPhA-S116-01,67508,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,12,11.64
AnPhA-S116-01,67508,7.4: Quiz,Qz,10,NA
AnPhA-S116-01,67508,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,10,8
AnPhA-S116-01,67508,8.1 - 8.3: Quiz,Qz,10,6.5
AnPhA-S116-01,67508,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,10,NA
AnPhA-S116-01,67508,8.5: Modeling Leptin and Obesity,Hw,575,429.14333
AnPhA-S116-01,67508,Unit 8 Assessment: Test,Qz,443,368.5
AnPhA-S116-01,67508,Final Exam,NA,10,8
AnPhA-S116-01,67508,POINTS EARNED & TOTAL COURSE POINTS,NA,10,10
AnPhA-S116-01,70532,POINTS EARNED & TOTAL COURSE POINTS,NA,5,5
AnPhA-S116-01,70532,WORK ATTEMPTED,NA,15,13
AnPhA-S116-01,70532,0.1: Message Your Instructor,NA,597,532.1
AnPhA-S116-01,70532,0.2: Intro Assignment - Discussion Board,Hw,30,30
AnPhA-S116-01,70532,0.3: Intro Assignment - Submitting Files,Hw,5,5
AnPhA-S116-01,70532,1.1: Quiz,Qz,28,26
AnPhA-S116-01,70532,1.2: Quiz,Qz,5,5
AnPhA-S116-01,70532,1.3: Create a Living Creature,Hw,10,10
AnPhA-S116-01,70532,1.3: Create a Living Creature - Discussion Board,Hw,30,28
AnPhA-S116-01,70532,1.4: Negative Feedback Loop Flowchart,Hw,30,24
AnPhA-S116-01,70532,1.5: Quiz,Qz,244,219.5
AnPhA-S116-01,70532,Unit 1 Assessment: Pickle Autopsy Lab,Hw,443,334.5
AnPhA-S116-01,70532,PROGRESS CHECK 1 @ 10-02-15,NA,30,24
AnPhA-S116-01,70532,2.1: Types of Membranes,Hw,10,10
AnPhA-S116-01,70532,2.2 - 2.3: Quiz,Qz,10,10
AnPhA-S116-01,70532,2.4 - 2.5 Quiz,Qz,720,687
AnPhA-S116-01,70532,2.6: Quiz,Qz,20,18
AnPhA-S116-01,70532,Unit 2 Assessment: Test,Qz,10,10
AnPhA-S116-01,70532,3.1: Models of the Integumentary System,Hw,10,10
AnPhA-S116-01,70532,3.2 - 3.3: Quiz,Qz,5,4
AnPhA-S116-01,70532,3.4: Skin Twin - Discussion Board,Hw,30,18
AnPhA-S116-01,70532,Unit 3 Assessment: UV Exposure Lab,Hw,10,9.33333
AnPhA-S116-01,70532,PROGRESS CHECK 2 @ 10-28-15,NA,30,NA
AnPhA-S116-01,70532,4.2: Balloon Skull Lab,Hw,5,5
AnPhA-S116-01,70532,4.1 - 4.3: Quiz,Qz,10,10
AnPhA-S116-01,70532,4.4: Quiz,Qz,930,686.51
AnPhA-S116-01,70532,4.5: Muscle Movements in our Daily Life,Hw,12,NA
AnPhA-S116-01,70532,4.6: Soda and Osteoporosis Research Writing,Hw,130,104
AnPhA-S116-01,70532,Unit 4 Assessment: Test,Qz,20,20
AnPhA-S116-01,70532,5.1: Quiz,Qz,353,299
AnPhA-S116-01,70532,5.4: Muscle Tissue Types Chart,Hw,10,10
AnPhA-S116-01,70532,5.2 - 5.4: Quiz,Qz,5,5
AnPhA-S116-01,70532,PROGRESS CHECK 3 @ 11-20-15,NA,5,10
AnPhA-S116-01,70532,5.5: Naming Skeletal Muscle - Discussion Board,Hw,37,32
AnPhA-S116-01,70532,5.6: Quiz,Qz,443,389
AnPhA-S116-01,70532,Unit 5 Assessment: Fitness Class Poster,Hw,10,10
AnPhA-S116-01,70532,6.1: Quiz,Qz,20,18
AnPhA-S116-01,70532,6.2: Helmet Law - Discussion Board,Hw,60,60
AnPhA-S116-01,70532,6.3 - 6.4: Quiz,Qz,10,NA
AnPhA-S116-01,70532,6.5: Diagramming the Nervous System,Hw,10,7.25
AnPhA-S116-01,70532,Unit 6 Assessment: Test,Qz,5,NA
AnPhA-S116-01,70532,PROGRESS CHECK 4 @ 12-18-15,NA,10,7
AnPhA-S116-01,70532,7.1: Quiz,Qz,5,NA
AnPhA-S116-01,70532,7.2: Virtual Eye Dissection,Hw,5,5
AnPhA-S116-01,70532,7.3: Anatomy and Physiology of Hearing Flow Chart,Hw,10,10
AnPhA-S116-01,70532,7.4: Quiz,Qz,10,10
AnPhA-S116-01,70532,Unit 7 Assessment: Create Your Own Senses Experiment,Hw,280,249.37
AnPhA-S116-01,70532,8.1 - 8.3: Quiz,Qz,10,NA
AnPhA-S116-01,70532,8.4: Negative Feedback Loops of the Endocrine Pancreas,Hw,570,531.5
AnPhA-S116-01,70532,8.5: Modeling Leptin and Obesity,Hw,20,20
AnPhA-S116-01,70532,Unit 8 Assessment: Test,Qz,10,8
AnPhA-S116-01,70532,Final Exam,NA,10,8
AnPhA-S116-01,70532,POINTS EARNED & TOTAL COURSE POINTS,NA,5,NA
AnPhA-S116-01,77010,POINTS EARNED & TOTAL COURSE POINTS,NA,24,10
AnPhA-S116-01,77010,WORK ATTEMPTED,NA,10,NA
AnPhA-S116-01,77010,0.1: Message Your Instructor,NA,10,10
AnPhA-S116-01,77010,0.2: Intro Assignment - Discussion Board,Hw,460,348.75
AnPhA-S116-01,77010,0.3: Intro Assignment - Submitting Files,Hw,12,12
AnPhA-S116-01,77010,1.1: Quiz,Qz,443,393
AnPhA-S116-01,77010,1.2: Quiz,Qz,5,5
AnPhA-S116-01,77010,1.3: Create a Living Creature,Hw,10,10
AnPhA-S116-01,77010,1.3: Create a Living Creature - Discussion Board,Hw,10,9
AnPhA-S116-01,77010,1.4: Negative Feedback Loop Flowchart,Hw,10,7
AnPhA-S116-01,77010,1.5: Quiz,Qz,413,233
AnPhA-S116-01,77010,Unit 1 Assessment: Pickle Autopsy Lab,Hw,5,5
AnPhA-S116-01,77010,PROGRESS CHECK 1 @ 10-02-15,NA,5,NA
AnPhA-S116-01,77010,2.1: Types of Membranes,Hw,5,4
AnPhA-S116-01,77010,2.2 - 2.3: Quiz,Qz,10,10
AnPhA-S116-01,77010,2.4 - 2.5 Quiz,Qz,37,37
AnPhA-S116-01,77010,2.6: Quiz,Qz,10,10
AnPhA-S116-01,77010,Unit 2 Assessment: Test,Qz,10,9.63
AnPhA-S116-01,77010,3.1: Models of the Integumentary System,Hw,10,10
AnPhA-S116-01,77010,3.2 - 3.3: Quiz,Qz,15,13
AnPhA-S116-01,77010,3.4: Skin Twin - Discussion Board,Hw,5,3
AnPhA-S116-01,77010,Unit 3 Assessment: UV Exposure Lab,Hw,10,10
AnPhA-S116-01,77010,PROGRESS CHECK 2 @ 10-28-15,NA,5,5
AnPhA-S116-01,77010,4.2: Balloon Skull Lab,Hw,10,5
AnPhA-S116-01,77010,4.1 - 4.3: Quiz,Qz,10,10
AnPhA-S116-01,77010,4.4: Quiz,Qz,10,10
AnPhA-S116-01,77010,4.5: Muscle Movements in our Daily Life,Hw,10,8.5
AnPhA-S116-01,77010,4.6: Soda and Osteoporosis Research Writing,Hw,5,5
AnPhA-S116-01,77010,Unit 4 Assessment: Test,Qz,5,5
AnPhA-S116-01,77010,5.1: Quiz,Qz,20,18
AnPhA-S116-01,77010,5.4: Muscle Tissue Types Chart,Hw,30,30
AnPhA-S116-01,77010,5.2 - 5.4: Quiz,Qz,10,9
AnPhA-S116-01,77010,PROGRESS CHECK 3 @ 11-20-15,NA,5,4
AnPhA-S116-01,77010,5.5: Naming Skeletal Muscle - Discussion Board,Hw,20,NA
AnPhA-S116-01,77010,5.6: Quiz,Qz,10,10
AnPhA-S116-01,77010,Unit 5 Assessment: Fitness Class Poster,Hw,5,5
AnPhA-S116-01,77010,6.1: Quiz,Qz,5,5
AnPhA-S116-01,77010,6.2: Helmet Law - Discussion Board,Hw,5,5
AnPhA-S116-01,77010,6.3 - 6.4: Quiz,Qz,5,5
AnPhA-S116-01,77010,6.5: Diagramming the Nervous System,Hw,10,6
AnPhA-S116-01,77010,Unit 6 Assessment: Test,Qz,75,75
AnPhA-S116-01,77010,PROGRESS CHECK 4 @ 12-18-15,NA,15,6
AnPhA-S116-01,77010,7.1: Quiz,Qz,10,10
AnPhA-S116-01,77010,7.2: Virtual Eye Dissection,Hw,30,23
