course_id,student_id,gradebook_item,points_possible,points_earned
AnPhA-S116-01,66693,5.5: Naming Skeletal Muscle - Discussion Board,10,10
AnPhA-S116-01,66693,5.6: Quiz,10,10
AnPhA-S116-01,66693,Unit 5 Assessment: Fitness Class Poster,10,6
AnPhA-S116-01,66693,6.1: Quiz,10,10
AnPhA-S116-01,66693,6.2: Helmet Law - Discussion Board,10,10
AnPhA-S116-01,66693,6.3 - 6.4: Quiz,10,6
AnPhA-S116-01,66693,6.5: Diagramming the Nervous System,30,30
AnPhA-S116-01,66693,Unit 6 Assessment: Test,30,24.7
AnPhA-S116-01,66693,PROGRESS CHECK 4 @ 12-18-15,5,4
AnPhA-S116-01,66693,7.1: Quiz,10,3
AnPhA-S116-01,66693,7.2: Virtual Eye Dissection,10,10
AnPhA-S116-01,66693,7.3: Anatomy and Physiology of Hearing Flow Chart,5,5
AnPhA-S116-01,66693,7.4: Quiz,5,5
AnPhA-S116-01,66693,Unit 7 Assessment: Create Your Own Senses Experiment,5,3.05
AnPhA-S116-01,66693,8.1 - 8.3: Quiz,10,7
AnPhA-S116-01,66693,8.4: Negative Feedback Loops of the Endocrine Pancreas,10,NA
AnPhA-S116-01,66693,8.5: Modeling Leptin and Obesity,28,28
AnPhA-S116-01,66693,Unit 8 Assessment: Test,10,10
AnPhA-S116-01,66693,Final Exam,10,9
AnPhA-S116-01,66693,POINTS EARNED & TOTAL COURSE POINTS,10,10
AnPhA-S116-01,66811,POINTS EARNED & TOTAL COURSE POINTS,10,10
AnPhA-S116-01,66811,WORK ATTEMPTED,28,20
AnPhA-S116-01,66811,0.1: Message Your Instructor,10,9
AnPhA-S116-01,66811,0.2: Intro Assignment - Discussion Board,5,5
AnPhA-S116-01,66811,0.3: Intro Assignment - Submitting Files,24,14
AnPhA-S116-01,66811,1.1: Quiz,720,693.65
AnPhA-S116-01,66811,1.2: Quiz,635,528.63
AnPhA-S116-01,66811,1.3: Create a Living Creature,15,15
AnPhA-S116-01,66811,1.3: Create a Living Creature - Discussion Board,10,10
AnPhA-S116-01,66811,1.4: Negative Feedback Loop Flowchart,30,25
AnPhA-S116-01,66811,1.5: Quiz,30,27
AnPhA-S116-01,66811,Unit 1 Assessment: Pickle Autopsy Lab,20,20
AnPhA-S116-01,66811,PROGRESS CHECK 1 @ 10-02-15,30,18
AnPhA-S116-01,66811,2.1: Types of Membranes,5,5
AnPhA-S116-01,66811,2.2 - 2.3: Quiz,50,47
AnPhA-S116-01,66811,2.4 - 2.5 Quiz,625,185.33333
AnPhA-S116-01,66811,2.6: Quiz,30,19.88
AnPhA-S116-01,66811,Unit 2 Assessment: Test,10,9.5
AnPhA-S116-01,66811,3.1: Models of the Integumentary System,50,50
AnPhA-S116-01,66811,3.2 - 3.3: Quiz,5,4
AnPhA-S116-01,66811,3.4: Skin Twin - Discussion Board,5,5
AnPhA-S116-01,66811,Unit 3 Assessment: UV Exposure Lab,10,10
AnPhA-S116-01,66811,PROGRESS CHECK 2 @ 10-28-15,5,5
AnPhA-S116-01,66811,4.2: Balloon Skull Lab,5,5
AnPhA-S116-01,66811,4.1 - 4.3: Quiz,5,NA
AnPhA-S116-01,66811,4.4: Quiz,15,8
AnPhA-S116-01,66811,4.5: Muscle Movements in our Daily Life,5,4
AnPhA-S116-01,66811,4.6: Soda and Osteoporosis Research Writing,597,530.83
AnPhA-S116-01,66811,Unit 4 Assessment: Test,10,9.5
AnPhA-S116-01,66811,5.1: Quiz,30,27
AnPhA-S116-01,66811,5.4: Muscle Tissue Types Chart,30,22
AnPhA-S116-01,66811,5.2 - 5.4: Quiz,10,10
AnPhA-S116-01,66811,PROGRESS CHECK 3 @ 11-20-15,10,10
AnPhA-S116-01,66811,5.5: Naming Skeletal Muscle - Discussion Board,5,5
AnPhA-S116-01,66811,5.6: Quiz,50,NA
AnPhA-S116-01,66811,Unit 5 Assessment: Fitness Class Poster,28,24
AnPhA-S116-01,66811,6.1: Quiz,50,50
AnPhA-S116-01,66811,6.2: Helmet Law - Discussion Board,10,7
AnPhA-S116-01,66811,6.3 - 6.4: Quiz,10,10
AnPhA-S116-01,66811,6.5: Diagramming the Nervous System,10,NA
AnPhA-S116-01,66811,Unit 6 Assessment: Test,465,380.2
AnPhA-S116-01,66811,PROGRESS CHECK 4 @ 12-18-15,10,10
AnPhA-S116-01,66811,7.1: Quiz,377,325.95
AnPhA-S116-01,66811,7.2: Virtual Eye Dissection,25,25
AnPhA-S116-01,66811,7.3: Anatomy and Physiology of Hearing Flow Chart,10,10
AnPhA-S116-01,66811,7.4: Quiz,20,18
AnPhA-S116-01,66811,Unit 7 Assessment: Create Your Own Senses Experiment,10,8
AnPhA-S116-01,66811,8.1 - 8.3: Quiz,5,9
AnPhA-S116-01,66811,8.4: Negative Feedback Loops of the Endocrine Pancreas,465,400.04666
AnPhA-S116-01,66811,8.5: Modeling Leptin and Obesity,10,9
AnPhA-S116-01,66811,Unit 8 Assessment: Test,5,5
AnPhA-S116-01,66811,Final Exam,10,8
AnPhA-S116-01,66811,POINTS EARNED & TOTAL COURSE POINTS,5,4
AnPhA-S116-01,66862,POINTS EARNED & TOTAL COURSE POINTS,15,12
AnPhA-S116-01,66862,WORK ATTEMPTED,625,533.92333
AnPhA-S116-01,66862,0.1: Message Your Instructor,140,124
AnPhA-S116-01,66862,0.2: Intro Assignment - Discussion Board,10,8
AnPhA-S116-01,66862,0.3: Intro Assignment - Submitting Files,10,8
AnPhA-S116-01,66862,1.1: Quiz,5,5
AnPhA-S116-01,66862,1.2: Quiz,10,6
AnPhA-S116-01,66862,1.3: Create a Living Creature,5,5
AnPhA-S116-01,66862,1.3: Create a Living Creature - Discussion Board,5,5
AnPhA-S116-01,66862,1.4: Negative Feedback Loop Flowchart,5,5
AnPhA-S116-01,66862,1.5: Quiz,24,6
AnPhA-S116-01,66862,Unit 1 Assessment: Pickle Autopsy Lab,10,10
AnPhA-S116-01,66862,PROGRESS CHECK 1 @ 10-02-15,5,5
AnPhA-S116-01,66862,2.1: Types of Membranes,10,NA
AnPhA-S116-01,66862,2.2 - 2.3: Quiz,10,10
AnPhA-S116-01,66862,2.4 - 2.5 Quiz,10,10
AnPhA-S116-01,66862,2.6: Quiz,5,5
AnPhA-S116-01,66862,Unit 2 Assessment: Test,5,4
AnPhA-S116-01,66862,3.1: Models of the Integumentary System,15,14
AnPhA-S116-01,66862,3.2 - 3.3: Quiz,30,30
AnPhA-S116-01,66862,3.4: Skin Twin - Discussion Board,625,511.44333
AnPhA-S116-01,66862,Unit 3 Assessment: UV Exposure Lab,5,5
AnPhA-S116-01,66862,PROGRESS CHECK 2 @ 10-28-15,24,22
AnPhA-S116-01,66862,4.2: Balloon Skull Lab,5,5
AnPhA-S116-01,66862,4.1 - 4.3: Quiz,597,386.75
AnPhA-S116-01,66862,4.4: Quiz,5,5
AnPhA-S116-01,66862,4.5: Muscle Movements in our Daily Life,10,9
AnPhA-S116-01,66862,4.6: Soda and Osteoporosis Research Writing,5,3
AnPhA-S116-01,66862,Unit 4 Assessment: Test,235,211.63
AnPhA-S116-01,66862,5.1: Quiz,40,40
AnPhA-S116-01,66862,5.4: Muscle Tissue Types Chart,30,21
AnPhA-S116-01,66862,5.2 - 5.4: Quiz,5,5
AnPhA-S116-01,66862,PROGRESS CHECK 3 @ 11-20-15,10,NA
AnPhA-S116-01,66862,5.5: Naming Skeletal Muscle - Discussion Board,10,10
AnPhA-S116-01,66862,5.6: Quiz,5,NA
AnPhA-S116-01,66862,Unit 5 Assessment: Fitness Class Poster,30,26
AnPhA-S116-01,66862,6.1: Quiz,30,NA
AnPhA-S116-01,66862,6.2: Helmet Law - Discussion Board,10,10
AnPhA-S116-01,66862,6.3 - 6.4: Quiz,353,295.75
AnPhA-S116-01,66862,6.5: Diagramming the Nervous System,10,10
AnPhA-S116-01,66862,Unit 6 Assessment: Test,635,259
AnPhA-S116-01,66862,PROGRESS CHECK 4 @ 12-18-15,5,NA
AnPhA-S116-01,66862,7.1: Quiz,10,NA
AnPhA-S116-01,66862,7.2: Virtual Eye Dissection,465,309.875
AnPhA-S116-01,66862,7.3: Anatomy and Physiology of Hearing Flow Chart,10,10
AnPhA-S116-01,66862,7.4: Quiz,5,5
AnPhA-S116-01,66862,Unit 7 Assessment: Create Your Own Senses Experiment,50,50
AnPhA-S116-01,66862,8.1 - 8.3: Quiz,10,10
AnPhA-S116-01,66862,8.4: Negative Feedback Loops of the Endocrine Pancreas,20,12
AnPhA-S116-01,66862,8.5: Modeling Leptin and Obesity,40,NA
AnPhA-S116-01,66862,Unit 8 Assessment: Test,20,12
AnPhA-S116-01,66862,Final Exam,720,703.6
AnPhA-S116-01,66862,POINTS EARNED & TOTAL COURSE POINTS,15,10
AnPhA-S116-01,67508,POINTS EARNED & TOTAL COURSE POINTS,5,5
AnPhA-S116-01,67508,WORK ATTEMPTED,30,13.5
AnPhA-S116-01,67508,0.1: Message Your Instructor,10,10
AnPhA-S116-01,67508,0.2: Intro Assignment - Discussion Board,720,697
AnPhA-S116-01,67508,0.3: Intro Assignment - Submitting Files,10,6
AnPhA-S116-01,67508,1.1: Quiz,10,NA
AnPhA-S116-01,67508,1.2: Quiz,10,7
AnPhA-S116-01,67508,1.3: Create a Living Creature,10,10
AnPhA-S116-01,67508,1.3: Create a Living Creature - Discussion Board,37,NA
AnPhA-S116-01,67508,1.4: Negative Feedback Loop Flowchart,30,NA
AnPhA-S116-01,67508,1.5: Quiz,237,131.04
AnPhA-S116-01,67508,Unit 1 Assessment: Pickle Autopsy Lab,5,5
AnPhA-S116-01,67508,PROGRESS CHECK 1 @ 10-02-15,5,5
AnPhA-S116-01,67508,2.1: Types of Membranes,5,2
AnPhA-S116-01,67508,2.2 - 2.3: Quiz,5,5
AnPhA-S116-01,67508,2.4 - 2.5 Quiz,5,5
AnPhA-S116-01,67508,2.6: Quiz,30,21
AnPhA-S116-01,67508,Unit 2 Assessment: Test,237,199.6
AnPhA-S116-01,67508,3.1: Models of the Integumentary System,10,9.5
AnPhA-S116-01,67508,3.2 - 3.3: Quiz,10,10
AnPhA-S116-01,67508,3.4: Skin Twin - Discussion Board,25,12
AnPhA-S116-01,67508,Unit 3 Assessment: UV Exposure Lab,15,15
AnPhA-S116-01,67508,PROGRESS CHECK 2 @ 10-28-15,358,20
AnPhA-S116-01,67508,4.2: Balloon Skull Lab,10,NA
AnPhA-S116-01,67508,4.1 - 4.3: Quiz,10,8
AnPhA-S116-01,67508,4.4: Quiz,10,10
AnPhA-S116-01,67508,4.5: Muscle Movements in our Daily Life,5,5
AnPhA-S116-01,67508,4.6: Soda and Osteoporosis Research Writing,30,24
AnPhA-S116-01,67508,Unit 4 Assessment: Test,5,5
AnPhA-S116-01,67508,5.1: Quiz,10,9.07
AnPhA-S116-01,67508,5.4: Muscle Tissue Types Chart,40,30
AnPhA-S116-01,67508,5.2 - 5.4: Quiz,570,523.05
AnPhA-S116-01,67508,PROGRESS CHECK 3 @ 11-20-15,10,NA
AnPhA-S116-01,67508,5.5: Naming Skeletal Muscle - Discussion Board,10,10
AnPhA-S116-01,67508,5.6: Quiz,10,8
AnPhA-S116-01,67508,Unit 5 Assessment: Fitness Class Poster,10,9
AnPhA-S116-01,67508,6.1: Quiz,5,4.5
AnPhA-S116-01,67508,6.2: Helmet Law - Discussion Board,10,9
AnPhA-S116-01,67508,6.3 - 6.4: Quiz,5,5
AnPhA-S116-01,67508,6.5: Diagramming the Nervous System,28,22
AnPhA-S116-01,67508,Unit 6 Assessment: Test,10,9
AnPhA-S116-01,67508,PROGRESS CHECK 4 @ 12-18-15,10,10
AnPhA-S116-01,67508,7.1: Quiz,10,10
AnPhA-S116-01,67508,7.2: Virtual Eye Dissection,30,28.5
AnPhA-S116-01,67508,7.3: Anatomy and Physiology of Hearing Flow Chart,12,11.64
AnPhA-S116-01,67508,7.4: Quiz,10,NA
AnPhA-S116-01,67508,Unit 7 Assessment: Create Your Own Senses Experiment,10,8
AnPhA-S116-01,67508,8.1 - 8.3: Quiz,10,6.5
AnPhA-S116-01,67508,8.4: Negative Feedback Loops of the Endocrine Pancreas,10,NA
AnPhA-S116-01,67508,8.5: Modeling Leptin and Obesity,575,429.14333
AnPhA-S116-01,67508,Unit 8 Assessment: Test,443,368.5
AnPhA-S116-01,67508,Final Exam,10,8
AnPhA-S116-01,67508,POINTS EARNED & TOTAL COURSE POINTS,10,10
AnPhA-S116-01,70532,POINTS EARNED & TOTAL COURSE POINTS,5,5
AnPhA-S116-01,70532,WORK ATTEMPTED,15,13
AnPhA-S116-01,70532,0.1: Message Your Instructor,597,532.1
AnPhA-S116-01,70532,0.2: Intro Assignment - Discussion Board,30,30
AnPhA-S116-01,70532,0.3: Intro Assignment - Submitting Files,5,5
AnPhA-S116-01,70532,1.1: Quiz,28,26
AnPhA-S116-01,70532,1.2: Quiz,5,5
AnPhA-S116-01,70532,1.3: Create a Living Creature,10,10
AnPhA-S116-01,70532,1.3: Create a Living Creature - Discussion Board,30,28
AnPhA-S116-01,70532,1.4: Negative Feedback Loop Flowchart,30,24
AnPhA-S116-01,70532,1.5: Quiz,244,219.5
AnPhA-S116-01,70532,Unit 1 Assessment: Pickle Autopsy Lab,443,334.5
AnPhA-S116-01,70532,PROGRESS CHECK 1 @ 10-02-15,30,24
AnPhA-S116-01,70532,2.1: Types of Membranes,10,10
AnPhA-S116-01,70532,2.2 - 2.3: Quiz,10,10
AnPhA-S116-01,70532,2.4 - 2.5 Quiz,720,687
AnPhA-S116-01,70532,2.6: Quiz,20,18
AnPhA-S116-01,70532,Unit 2 Assessment: Test,10,10
AnPhA-S116-01,70532,3.1: Models of the Integumentary System,10,10
AnPhA-S116-01,70532,3.2 - 3.3: Quiz,5,4
AnPhA-S116-01,70532,3.4: Skin Twin - Discussion Board,30,18
AnPhA-S116-01,70532,Unit 3 Assessment: UV Exposure Lab,10,9.33333
AnPhA-S116-01,70532,PROGRESS CHECK 2 @ 10-28-15,30,NA
AnPhA-S116-01,70532,4.2: Balloon Skull Lab,5,5
AnPhA-S116-01,70532,4.1 - 4.3: Quiz,10,10
AnPhA-S116-01,70532,4.4: Quiz,930,686.51
AnPhA-S116-01,70532,4.5: Muscle Movements in our Daily Life,12,NA
AnPhA-S116-01,70532,4.6: Soda and Osteoporosis Research Writing,130,104
AnPhA-S116-01,70532,Unit 4 Assessment: Test,20,20
AnPhA-S116-01,70532,5.1: Quiz,353,299
AnPhA-S116-01,70532,5.4: Muscle Tissue Types Chart,10,10
AnPhA-S116-01,70532,5.2 - 5.4: Quiz,5,5
AnPhA-S116-01,70532,PROGRESS CHECK 3 @ 11-20-15,5,10
AnPhA-S116-01,70532,5.5: Naming Skeletal Muscle - Discussion Board,37,32
AnPhA-S116-01,70532,5.6: Quiz,443,389
AnPhA-S116-01,70532,Unit 5 Assessment: Fitness Class Poster,10,10
AnPhA-S116-01,70532,6.1: Quiz,20,18
AnPhA-S116-01,70532,6.2: Helmet Law - Discussion Board,60,60
AnPhA-S116-01,70532,6.3 - 6.4: Quiz,10,NA
AnPhA-S116-01,70532,6.5: Diagramming the Nervous System,10,7.25
AnPhA-S116-01,70532,Unit 6 Assessment: Test,5,NA
AnPhA-S116-01,70532,PROGRESS CHECK 4 @ 12-18-15,10,7
AnPhA-S116-01,70532,7.1: Quiz,5,NA
AnPhA-S116-01,70532,7.2: Virtual Eye Dissection,5,5
AnPhA-S116-01,70532,7.3: Anatomy and Physiology of Hearing Flow Chart,10,10
AnPhA-S116-01,70532,7.4: Quiz,10,10
AnPhA-S116-01,70532,Unit 7 Assessment: Create Your Own Senses Experiment,280,249.37
AnPhA-S116-01,70532,8.1 - 8.3: Quiz,10,NA
AnPhA-S116-01,70532,8.4: Negative Feedback Loops of the Endocrine Pancreas,570,531.5
AnPhA-S116-01,70532,8.5: Modeling Leptin and Obesity,20,20
AnPhA-S116-01,70532,Unit 8 Assessment: Test,10,8
AnPhA-S116-01,70532,Final Exam,10,8
AnPhA-S116-01,70532,POINTS EARNED & TOTAL COURSE POINTS,5,NA
AnPhA-S116-01,77010,POINTS EARNED & TOTAL COURSE POINTS,24,10
AnPhA-S116-01,77010,WORK ATTEMPTED,10,NA
AnPhA-S116-01,77010,0.1: Message Your Instructor,10,10
AnPhA-S116-01,77010,0.2: Intro Assignment - Discussion Board,460,348.75
AnPhA-S116-01,77010,0.3: Intro Assignment - Submitting Files,12,12
AnPhA-S116-01,77010,1.1: Quiz,443,393
AnPhA-S116-01,77010,1.2: Quiz,5,5
AnPhA-S116-01,77010,1.3: Create a Living Creature,10,10
AnPhA-S116-01,77010,1.3: Create a Living Creature - Discussion Board,10,9
AnPhA-S116-01,77010,1.4: Negative Feedback Loop Flowchart,10,7
AnPhA-S116-01,77010,1.5: Quiz,413,233
AnPhA-S116-01,77010,Unit 1 Assessment: Pickle Autopsy Lab,5,5
AnPhA-S116-01,77010,PROGRESS CHECK 1 @ 10-02-15,5,NA
AnPhA-S116-01,77010,2.1: Types of Membranes,5,4
AnPhA-S116-01,77010,2.2 - 2.3: Quiz,10,10
AnPhA-S116-01,77010,2.4 - 2.5 Quiz,37,37
AnPhA-S116-01,77010,2.6: Quiz,10,10
AnPhA-S116-01,77010,Unit 2 Assessment: Test,10,9.63
AnPhA-S116-01,77010,3.1: Models of the Integumentary System,10,10
AnPhA-S116-01,77010,3.2 - 3.3: Quiz,15,13
AnPhA-S116-01,77010,3.4: Skin Twin - Discussion Board,5,3
AnPhA-S116-01,77010,Unit 3 Assessment: UV Exposure Lab,10,10
AnPhA-S116-01,77010,PROGRESS CHECK 2 @ 10-28-15,5,5
AnPhA-S116-01,77010,4.2: Balloon Skull Lab,10,5
AnPhA-S116-01,77010,4.1 - 4.3: Quiz,10,10
AnPhA-S116-01,77010,4.4: Quiz,10,10
AnPhA-S116-01,77010,4.5: Muscle Movements in our Daily Life,10,8.5
AnPhA-S116-01,77010,4.6: Soda and Osteoporosis Research Writing,5,5
AnPhA-S116-01,77010,Unit 4 Assessment: Test,5,5
AnPhA-S116-01,77010,5.1: Quiz,20,18
AnPhA-S116-01,77010,5.4: Muscle Tissue Types Chart,30,30
AnPhA-S116-01,77010,5.2 - 5.4: Quiz,10,9
AnPhA-S116-01,77010,PROGRESS CHECK 3 @ 11-20-15,5,4
AnPhA-S116-01,77010,5.5: Naming Skeletal Muscle - Discussion Board,20,NA
AnPhA-S116-01,77010,5.6: Quiz,10,10
AnPhA-S116-01,77010,Unit 5 Assessment: Fitness Class Poster,5,5
AnPhA-S116-01,77010,6.1: Quiz,5,5
AnPhA-S116-01,77010,6.2: Helmet Law - Discussion Board,5,5
AnPhA-S116-01,77010,6.3 - 6.4: Quiz,5,5
AnPhA-S116-01,77010,6.5: Diagramming the Nervous System,10,6
AnPhA-S116-01,77010,Unit 6 Assessment: Test,75,75
AnPhA-S116-01,77010,PROGRESS CHECK 4 @ 12-18-15,15,6
AnPhA-S116-01,77010,7.1: Quiz,10,10
AnPhA-S116-01,77010,7.2: Virtual Eye Dissection,30,23
AnPhA-S116-01,77010,7.3: Anatomy and Physiology of Hearing Flow Chart,10,10
AnPhA-S116-01,77010,7.4: Quiz,10,10
AnPhA-S116-01,77010,Unit 7 Assessment: Create Your Own Senses Experiment,10,10
AnPhA-S116-01,77010,8.1 - 8.3: Quiz,5,5
AnPhA-S116-01,77010,8.4: Negative Feedback Loops of the Endocrine Pancreas,30,26
AnPhA-S116-01,77010,8.5: Modeling Leptin and Obesity,353,339
AnPhA-S116-01,77010,Unit 8 Assessment: Test,30,16.8
AnPhA-S116-01,77010,Final Exam,5,4
AnPhA-S116-01,77010,POINTS EARNED & TOTAL COURSE POINTS,5,NA
AnPhA-S116-01,85249,POINTS EARNED & TOTAL COURSE POINTS,5,4
AnPhA-S116-01,85249,WORK ATTEMPTED,10,6
AnPhA-S116-01,85249,0.1: Message Your Instructor,570,540
AnPhA-S116-01,85249,0.2: Intro Assignment - Discussion Board,5,1
AnPhA-S116-01,85249,0.3: Intro Assignment - Submitting Files,10,10
AnPhA-S116-01,85249,1.1: Quiz,10,NA
AnPhA-S116-01,85249,1.2: Quiz,10,10
AnPhA-S116-01,85249,1.3: Create a Living Creature,28,NA
AnPhA-S116-01,85249,1.3: Create a Living Creature - Discussion Board,280,259.5
AnPhA-S116-01,85249,1.4: Negative Feedback Loop Flowchart,15,14
AnPhA-S116-01,85249,1.5: Quiz,30,22
AnPhA-S116-01,85249,Unit 1 Assessment: Pickle Autopsy Lab,10,8.6
AnPhA-S116-01,85249,PROGRESS CHECK 1 @ 10-02-15,10,10
AnPhA-S116-01,85249,2.1: Types of Membranes,30,NA
AnPhA-S116-01,85249,2.2 - 2.3: Quiz,15,15
AnPhA-S116-01,85249,2.4 - 2.5 Quiz,28,22
AnPhA-S116-01,85249,2.6: Quiz,5,4
AnPhA-S116-01,85249,Unit 2 Assessment: Test,15,11
AnPhA-S116-01,85249,3.1: Models of the Integumentary System,5,NA
AnPhA-S116-01,85249,3.2 - 3.3: Quiz,50,43
AnPhA-S116-01,85249,3.4: Skin Twin - Discussion Board,10,10
AnPhA-S116-01,85249,Unit 3 Assessment: UV Exposure Lab,10,10
AnPhA-S116-01,85249,PROGRESS CHECK 2 @ 10-28-15,5,5
AnPhA-S116-01,85249,4.2: Balloon Skull Lab,24,18
AnPhA-S116-01,85249,4.1 - 4.3: Quiz,10,NA
AnPhA-S116-01,85249,4.4: Quiz,10,8.5
AnPhA-S116-01,85249,4.5: Muscle Movements in our Daily Life,720,710
AnPhA-S116-01,85249,4.6: Soda and Osteoporosis Research Writing,105,104.5
AnPhA-S116-01,85249,Unit 4 Assessment: Test,10,8
AnPhA-S116-01,85249,5.1: Quiz,24,10
AnPhA-S116-01,85249,5.4: Muscle Tissue Types Chart,10,NA
