student_id,subject,semester,section,total_points_possible,total_points_earned,proportion_earned,gender,enrollment_reason,enrollment_status,time_spent,time_spent_hours,course_id,int,val,percomp,tv,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,date_x,post_int,post_uv,post_tv,post_percomp,date_y,date
62157,FrScA,S116,02,1212,909.73,75.0602310231023,F,Course Unavailable at Local School,Approved/Enrolled,2497.1666,41.61944333333334,FrScA-S116-02,5,4,5,4.571428571428571,5,4,5,5,5,5,5,5,3,5,2015-09-09T15:23:00Z,5,4,4.571428571428571,5,2015-09-09T15:21:00Z,NA
62175,OcnA,S216,01,1833,1341.52,73.18712493180578,F,Learning Preference of the Student,Approved/Enrolled,1403.6834,23.39472333333333,OcnA-S216-01,3.2,2,2.5,2.7142857142857144,3,2,2,3,4,2,3,4,2,2,2016-02-07T22:57:00Z,NA,NA,NA,NA,NA,NA
62576,PhysA,S116,01,2225,2108,94.74157303370787,M,Course Unavailable at Local School,Approved/Enrolled,793.95,13.2325,PhysA-S116-01,4,4.333333333333333,4,4.142857142857143,4,4,4,4,4,5,4,4,4,4,2015-09-10T13:57:00Z,4,4.333333333333333,4.142857142857143,4,2016-01-19T02:23:00Z,NA
62752,PhysA,S116,01,2225,2099.8,94.37303370786518,M,Course Unavailable at Local School,Approved/Enrolled,898.2998,14.971663333333334,PhysA-S116-01,4.2,4.333333333333333,4,4.285714285714286,4,4,4,4,5,5,4,4,4,4,2015-09-09T13:21:00Z,4.5,4.666666666666667,4.571428571428571,4,2016-01-20T14:33:00Z,NA
62754,PhysA,S116,01,2225,2140.65,96.20898876404495,M,Course Unavailable at Local School,Approved/Enrolled,674.3167,11.238611666666666,PhysA-S116-01,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2015-09-09T13:20:00Z,4,3.6666666666666665,3.857142857142857,3.5,2016-01-14T20:39:00Z,NA
64930,FrScA,T116,01,1212,1045.19,86.23679867986799,F,Course Unavailable at Local School,Approved/Enrolled,3424.5662,57.076103333333336,FrScA-T116-01,5,3.3333333333333335,3,4.285714285714286,5,3,3,5,5,4,3,5,3,5,2015-09-08T22:57:00Z,NA,NA,NA,NA,NA,NA
65116,FrScA,S216,01,1232,1158,93.9935064935065,F,Course Unavailable at Local School,Approved/Enrolled,1918.6166,31.976943333333335,FrScA-S216-01,4.8,3.6666666666666665,3.5,4.428571428571429,5,3,3,4,5,4,4,5,4,5,2016-01-25T17:42:00Z,NA,NA,NA,NA,NA,NA
65627,AnPhA,S116,02,1775,1473.765,83.02901408450705,F,Learning Preference of the Student,Approved/Enrolled,2164.9001,36.08166833333333,AnPhA-S116-02,4,4,3.5,4,4,4,3,4,4,4,4,4,4,4,2015-09-21T14:14:00Z,NA,NA,NA,NA,NA,NA
66508,AnPhA,T116,01,1775,0,0,F,Scheduling Conflict,Dropped,0.45,0.007500000000000001,AnPhA-T116-01,4,3.6666666666666665,3.5,3.857142857142857,4,4,3,4,4,5,4,4,2,4,2015-09-09T17:37:00Z,NA,NA,NA,NA,NA,NA
66508,PhysA,T116,01,2225,2097.5,94.26966292134831,F,Scheduling Conflict,Approved/Enrolled,2823.7501,47.06250166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66689,FrScA,S216,01,1232,1218,98.86363636363636,F,Course Unavailable at Local School,Approved/Enrolled,1137.8334,18.96389,FrScA-S216-01,4.4,3.3333333333333335,3.5,3.857142857142857,4,3,3,5,5,4,4,4,3,4,2016-01-25T14:04:00Z,NA,NA,NA,NA,NA,NA
66693,AnPhA,S116,01,1775,1674.25,94.32394366197184,M,Course Unavailable at Local School,Approved/Enrolled,2309.0334,38.483889999999995,AnPhA-S116-01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-09-10T17:43:00Z,NA,NA,NA,NA,NA,NA
66740,OcnA,S116,01,1676,1663,99.22434367541766,F,Course Unavailable at Local School,Approved/Enrolled,965.2994,16.08832333333333,OcnA-S116-01,4,3,3,3.5714285714285716,4,3,3,4,4,3,3,4,3,4,2015-09-09T14:08:00Z,4,3.6666666666666665,3.857142857142857,3.5,2015-09-12T22:46:00Z,NA
66811,AnPhA,S116,01,1775,1633.15,92.00845070422535,F,Course Unavailable at Local School,Approved/Enrolled,5298.8507,88.31417833333333,AnPhA-S116-01,4,4,NA,4,4,4,4,4,4,4,NA,4,4,4,2015-09-10T18:16:00Z,NA,NA,NA,NA,NA,NA
66862,AnPhA,S116,01,1775,1118.57333,63.01821577464788,F,Course Unavailable at Local School,Approved/Enrolled,1746.9667,29.116111666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67013,AnPhA,S216,01,1775,871.25,49.08450704225352,M,Course Unavailable at Local School,Approved/Enrolled,2297.2332,38.287220000000005,AnPhA-S216-01,4.2,4,2.5,4.142857142857143,4,4,2,4,4,4,3,4,4,5,2016-01-25T17:01:00Z,NA,NA,NA,NA,NA,NA
67102,PhysA,S216,01,2225,2028.5,91.1685393258427,M,Scheduling Conflict,Approved/Enrolled,719.2833,11.988055000000001,PhysA-S216-01,3.8,3.6666666666666665,5,3.5714285714285716,3,4,5,5,4,5,5,4,2,3,2016-01-28T19:01:00Z,NA,NA,NA,NA,NA,NA
67463,FrScA,S216,01,1232,1118,90.74675324675324,F,Course Unavailable at Local School,Approved/Enrolled,1359.033,22.65055,FrScA-S216-01,3.2,4,3,3.4285714285714284,3,4,3,4,3,4,3,3,4,3,2016-01-25T15:03:00Z,NA,NA,NA,NA,NA,NA
67508,AnPhA,S116,01,1775,1528.34333,86.10384957746479,F,Scheduling Conflict,Approved/Enrolled,2668.183,44.46971666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67762,FrScA,S116,02,1212,1019.15,84.08828382838284,F,Course Unavailable at Local School,Approved/Enrolled,801.2336,13.353893333333334,FrScA-S116-02,5,4.666666666666667,3.5,4.857142857142857,5,4,4,5,5,5,3,5,5,5,2015-09-10T01:18:00Z,NA,NA,NA,NA,NA,NA
67920,OcnA,S116,01,1676,1572.45,93.82159904534606,M,Course Unavailable at Local School,Approved/Enrolled,4094.9995,68.24999166666666,OcnA-S116-01,4.8,4.333333333333333,4.5,4.571428571428571,4,4,4,5,5,4,5,5,5,5,2015-09-09T14:25:00Z,5,4.666666666666667,4.857142857142857,5,2015-09-16T01:16:00Z,NA
68022,OcnA,S216,01,1833,1683.91,91.86633933442444,F,Course Unavailable at Local School,Approved/Enrolled,39.7504,0.6625066666666667,OcnA-S216-01,4.8,4,3.5,4.428571428571429,5,4,3,5,5,4,4,4,4,5,2016-02-05T20:57:00Z,NA,NA,NA,NA,NA,NA
68188,FrScA,S116,01,1212,1132,93.3993399339934,M,Course Unavailable at Local School,Approved/Enrolled,583.2498,9.720830000000001,FrScA-S116-01,5,2.6666666666666665,5,4,5,1,5,5,5,5,5,5,2,5,2015-09-14T12:24:00Z,NA,NA,NA,NA,NA,NA
68476,OcnA,S116,02,1676,1588.29,94.76670644391409,F,Course Unavailable at Local School,Approved/Enrolled,969.4666,16.157776666666667,OcnA-S116-02,4,3.6666666666666665,4,3.857142857142857,4,3,4,4,4,4,4,4,4,4,2015-09-08T20:08:00Z,NA,NA,NA,NA,NA,NA
68598,BioA,S116,01,2420,2120.61,87.62851239669422,F,Learning Preference of the Student,Approved/Enrolled,3331.6169,55.52694833333333,BioA-S116-01,4.2,3.3333333333333335,4,3.857142857142857,4,3,4,4,4,3,4,4,4,5,2015-09-09T15:58:00Z,NA,NA,NA,NA,NA,NA
68768,FrScA,S116,02,1212,815.95,67.32260726072607,F,Course Unavailable at Local School,Approved/Enrolled,1966.0169,32.76694833333333,FrScA-S116-02,4.6,2.6666666666666665,4,3.7142857142857144,4,3,3,5,4,3,5,5,2,5,2015-09-11T14:19:00Z,NA,NA,NA,NA,NA,NA
68795,FrScA,S216,01,1232,1083,87.90584415584416,F,Course Unavailable at Local School,Approved/Enrolled,3022.5333,50.375555,FrScA-S216-01,5,3.6666666666666665,4.5,4.428571428571429,5,2,4,5,5,4,5,5,5,5,2016-01-25T19:27:00Z,NA,NA,NA,NA,NA,NA
69072,FrScA,S116,01,1212,1145,94.47194719471948,F,Course Unavailable at Local School,Approved/Enrolled,956.1665,15.936108333333333,FrScA-S116-01,4,2.6666666666666665,3.5,3.4285714285714284,4,3,3,4,4,3,4,4,2,4,2015-09-09T12:48:00Z,NA,NA,NA,NA,NA,NA
69182,FrScA,S216,01,1232,1133,91.96428571428571,F,Course Unavailable at Local School,Approved/Enrolled,444.4832,7.408053333333333,FrScA-S216-01,3.8,3.3333333333333335,3,3.5714285714285716,4,3,2,4,4,4,4,4,3,3,2016-01-25T14:41:00Z,NA,NA,NA,NA,NA,NA
69397,FrScA,S216,01,1232,1170,94.96753246753246,F,Course Unavailable at Local School,Approved/Enrolled,1087.6003,18.126671666666667,FrScA-S216-01,4.4,3.6666666666666665,4,4,4,4,3,5,4,4,5,5,3,4,2016-01-25T17:43:00Z,NA,NA,NA,NA,NA,NA
69544,FrScA,S216,04,1217,1152.75,94.72062448644208,F,Course Unavailable at Local School,Approved/Enrolled,2673.3831,44.556385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69743,AnPhA,S216,01,1775,1579.25666,88.9722061971831,F,Course Unavailable at Local School,Approved/Enrolled,7084.7003,118.07833833333333,AnPhA-S216-01,4.2,4.666666666666667,4,4.285714285714286,4,5,3,5,4,4,5,4,5,4,2016-01-25T14:19:00Z,NA,NA,NA,NA,NA,NA
69937,BioA,S116,01,2420,0,0,F,Learning Preference of the Student,Withdrawn,1.2168,0.020280000000000003,BioA-S116-01,NA,3.6666666666666665,2,NA,4,4,2,3,3,4,2,4,3,NA,2015-09-17T15:15:00Z,NA,NA,NA,NA,NA,NA
70037,FrScA,S116,01,1212,1139,93.97689768976898,F,Course Unavailable at Local School,Approved/Enrolled,2591.1496,43.18582666666667,FrScA-S116-01,5,4.666666666666667,4,4.857142857142857,5,4,3,5,5,5,5,5,5,5,2015-09-14T16:55:00Z,NA,NA,NA,NA,NA,NA
70068,FrScA,S116,03,1212,1164.75,96.10148514851485,F,Course Unavailable at Local School,Approved/Enrolled,2101.933,35.03221666666666,FrScA-S116-03,4.8,2.3333333333333335,3,3.7142857142857144,5,2,3,5,5,3,3,5,2,4,2015-09-10T17:08:00Z,NA,NA,NA,NA,NA,NA
70187,PhysA,S216,01,2225,1961,88.13483146067415,F,Scheduling Conflict,Approved/Enrolled,719.1165,11.985275,PhysA-S216-01,4.4,4,4.5,4.142857142857143,4,4,4,5,4,4,5,4,4,5,2016-01-30T18:29:00Z,NA,NA,NA,NA,NA,NA
70192,AnPhA,S116,02,1775,1721.08333,96.96244112676055,F,Scheduling Conflict,Approved/Enrolled,1537.1834,25.619723333333333,AnPhA-S116-02,4.8,4.333333333333333,4,4.571428571428571,5,4,4,5,4,5,4,5,4,5,2015-10-05T16:19:00Z,NA,NA,NA,NA,NA,NA
70408,BioA,S116,01,2420,2198.5,90.84710743801652,F,Learning Preference of the Student,Approved/Enrolled,6664.4499,111.074165,BioA-S116-01,3.4,2.6666666666666665,2.5,3.142857142857143,4,3,2,3,4,3,3,3,2,3,2015-09-10T15:17:00Z,1.75,1.6666666666666667,1.7142857142857142,2,2016-01-15T16:03:00Z,NA
70532,AnPhA,S116,01,1775,1673.62,94.28845070422534,F,Learning Preference of the Student,Approved/Enrolled,2938.4666,48.97444333333333,AnPhA-S116-01,4.6,4.666666666666667,4,4.571428571428571,5,5,4,5,5,5,4,4,4,4,2015-09-11T17:18:00Z,NA,NA,NA,NA,NA,NA
70681,BioA,S116,01,2420,2198.05,90.82851239669422,F,Learning Preference of the Student,Approved/Enrolled,2602.2333,43.370554999999996,BioA-S116-01,4.8,4.333333333333333,3.5,4.571428571428571,5,4,4,5,4,5,3,5,4,5,2015-09-09T14:00:00Z,NA,NA,NA,NA,NA,NA
71110,FrScA,S216,01,1232,1092,88.63636363636364,F,Course Unavailable at Local School,Approved/Enrolled,2006.4003,33.440005,FrScA-S216-01,5,4.666666666666667,4.5,4.857142857142857,5,5,4,5,5,5,5,5,4,5,2016-02-02T19:37:00Z,NA,NA,NA,NA,NA,NA
71415,FrScA,S216,01,1232,278,22.564935064935064,M,Course Unavailable at Local School,Approved/Enrolled,408.4,6.806666666666667,FrScA-S216-01,4.8,3.6666666666666665,4.5,4.428571428571429,5,4,5,4,5,4,4,5,3,5,2016-01-25T14:05:00Z,NA,NA,NA,NA,NA,NA
71434,BioA,S116,01,2420,2015.32,83.27768595041321,M,Scheduling Conflict,Approved/Enrolled,1006.3337,16.772228333333334,BioA-S116-01,3.6,2.6666666666666665,3,3.142857142857143,3,3,3,4,4,3,3,4,2,3,2015-09-14T18:36:00Z,3,2.3333333333333335,2.7142857142857144,3.5,2016-01-04T19:20:00Z,NA
71725,AnPhA,S216,01,1775,1385.31333,78.0458214084507,F,Course Unavailable at Local School,Approved/Enrolled,3514.5498,58.575829999999996,AnPhA-S216-01,4.8,4.333333333333333,4,4.571428571428571,5,3,3,5,4,5,5,5,5,5,2016-02-02T18:52:00Z,NA,NA,NA,NA,NA,NA
72287,FrScA,T116,01,1212,1106.9,91.32838283828384,F,Learning Preference of the Student,Approved/Enrolled,3946.5666,65.77611,FrScA-T116-01,4.4,3.3333333333333335,4,4,4,3,3,4,5,4,5,5,3,4,2015-09-09T14:36:00Z,NA,NA,NA,NA,NA,NA
73132,FrScA,S116,03,1212,1083.63,89.40841584158417,F,Other,Approved/Enrolled,1746.5501,29.109168333333333,FrScA-S116-03,4.6,4.333333333333333,4.5,4.428571428571429,4,5,4,5,4,4,5,5,4,5,2015-09-10T13:43:00Z,NA,NA,NA,NA,NA,NA
74551,PhysA,S116,01,2225,1605.09,72.13887640449438,F,Learning Preference of the Student,Approved/Enrolled,1014.5665,16.909441666666666,PhysA-S116-01,3.8,3.3333333333333335,3.5,3.5714285714285716,4,4,3,4,4,4,4,4,2,3,2015-10-03T21:58:00Z,NA,NA,NA,NA,NA,NA
74552,AnPhA,S216,02,1775,1724,97.12676056338027,F,Other,Approved/Enrolled,6123.8832,102.06472000000001,AnPhA-S216-02,4,4.333333333333333,3.5,4.142857142857143,4,4,3,4,4,5,4,4,4,4,2016-02-01T22:10:00Z,NA,NA,NA,NA,NA,NA
76132,AnPhA,T116,01,1775,1711.74,96.43605633802817,F,Other,Approved/Enrolled,5037.3331,83.95555166666666,AnPhA-T116-01,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2015-09-09T17:55:00Z,NA,NA,NA,NA,NA,NA
76133,PhysA,S116,01,2225,2089.2,93.89662921348314,F,Other,Approved/Enrolled,1276.5167,21.275278333333333,PhysA-S116-01,3.2,3,2.5,3.142857142857143,4,4,2,3,3,3,3,3,2,3,2015-10-01T02:12:00Z,1.5,2.3333333333333335,1.8571428571428572,1.5,2016-01-20T12:55:00Z,NA
76426,PhysA,S116,01,2225,2159,97.03370786516854,F,Learning Preference of the Student,Approved/Enrolled,850.7329,14.178881666666665,PhysA-S116-01,4.6,4.333333333333333,4.5,4.428571428571429,4,4,4,5,5,5,5,5,4,4,2015-09-09T17:21:00Z,5,4.333333333333333,4.714285714285714,4.5,2015-11-04T18:04:00Z,NA
76443,OcnA,S216,01,1833,749.0500000000001,40.864702673213316,F,Course Unavailable at Local School,Withdrawn,100.3334,1.6722233333333334,OcnA-S216-01,3.6,4,2.5,3.857142857142857,4,4,3,3,3,4,2,4,4,4,2016-02-14T20:52:00Z,NA,NA,NA,NA,NA,NA
76673,AnPhA,S216,01,1775,1672.75,94.2394366197183,F,Course Unavailable at Local School,Approved/Enrolled,4945.2164,82.42027333333334,AnPhA-S216-01,4,4,3.5,4,4,4,4,4,4,4,3,4,4,4,2016-01-25T15:23:00Z,NA,NA,NA,NA,NA,NA
76674,AnPhA,S216,01,1775,1705.6,96.09014084507041,F,Course Unavailable at Local School,Approved/Enrolled,2368.4997,39.474995,AnPhA-S216-01,4.8,5,4,4.857142857142857,5,5,4,5,4,5,4,5,5,5,2016-01-25T14:11:00Z,NA,NA,NA,NA,NA,NA
76840,AnPhA,S216,01,1655,1269.085,76.68187311178248,F,Course Unavailable at Local School,Approved/Enrolled,3968.1668,66.13611333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76840,FrScA,S116,01,1212,1128,93.06930693069307,F,Course Unavailable at Local School,Approved/Enrolled,2634.6832,43.911386666666665,FrScA-S116-01,5,4.333333333333333,3.5,4.714285714285714,5,4,3,5,5,4,4,5,5,5,2015-09-09T15:43:00Z,5,4,4.571428571428571,3.5,2015-09-09T15:48:00Z,NA
76891,OcnA,S116,01,1676,1536.56,91.68019093078759,F,Other,Approved/Enrolled,2334.5502,38.90917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76930,AnPhA,S116,02,1775,1480.68,83.41859154929577,F,Learning Preference of the Student,Approved/Enrolled,2804.9832,46.74972,AnPhA-S116-02,4.6,4,3.5,4.285714285714286,4,4,4,5,5,5,3,5,3,4,2015-09-15T18:07:00Z,NA,NA,NA,NA,NA,NA
76998,AnPhA,S216,01,1775,835.54666,47.07305126760563,F,Course Unavailable at Local School,Approved/Enrolled,1270.0997,21.16832833333333,AnPhA-S216-01,3.4,3.3333333333333335,4,3.5714285714285716,4,3,3,2,4,4,5,4,3,3,2016-01-27T19:05:00Z,NA,NA,NA,NA,NA,NA
